"leaf_mass_per_area","leaf_length","leaf_width","plant_height","leaf_area","wood_density","leaf_thickness","leaf_N_per_dry_mass","seed_dry_mass","leaf_P_per_dry_mass","leaf_C_per_dry_mass","plant_diameter_breast_height","leaf_lifespan"
NA,-1.30836855577282,NA,-0.603494007445977,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-1.40561117307015,NA,-0.961893602700706,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,-0.873103421307369,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.268286751921292,-0.0768463461961705,-1.30760570639595,-0.500993265450009,0.0968153612177786,NA,NA,0.449414642018407,1.09178213194076,0.661311752677166,0.00445049633260271,NA,NA
NA,-0.649114208323245,NA,-0.500993265450009,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-0.833343310943078,NA,-0.724726653803309,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,-0.603494007445977,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.850563174305316,2.19782100558431,1.99776121381563,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.358518527662548,0.658748033565527,-1.47099259193205,0.466683434559476,-0.622205884456797,NA,1.78224999220065,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.466683434559476,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.806351125452841,NA,NA,NA,NA,0.890389087707344,NA,NA,NA,NA
NA,NA,NA,1.11887469519948,NA,NA,NA,NA,0.974827127035588,NA,NA,NA,NA
NA,-0.589405691069587,0.177415140404077,1.49098485105684,NA,NA,NA,NA,1.57363372101926,NA,NA,NA,NA
NA,-0.328235060063455,0.58606688349802,1.99776121381563,0.384103989345537,0.361198332973434,NA,1.11987132783759,1.85982994701627,NA,0.285946821985589,NA,NA
NA,NA,NA,0.806351125452841,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-1.03715296783049,NA,-0.724726653803309,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,-0.14259367019528,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0.0650346018846721,0.0515854756324112,-0.263826316552613,NA,NA,0.620889354297703,-1.9444540679454,0.807554871057415,-1.48230982519541,NA,NA,NA
NA,-1.03715296783049,NA,-0.263826316552613,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-0.759358795226644,0.378359246704617,0.466683434559476,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-0.386196258132098,NA,0.197074020698084,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.657974357948781,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-0.574186679361225,0.805478244972836,0.657974357948781,-0.792295578599781,NA,1.59274327319953,-1.07745461473201,NA,NA,NA,NA,1.13245447606087
NA,0.186071603994978,-0.553712937055521,0.657974357948781,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-0.943587897846477,NA,0.00578309730877931,NA,NA,NA,NA,NA,NA,NA,NA,NA
