"X","taxon_name","genus","family","leaf_mass_per_area","seed_dry_mass","leaf_length","leaf_width","plant_height","original_leaf_mass_per_area"
5462,"Eremophila coacta","Eremophila","Scrophulariaceae",NA,NA,36,1.2,3,NA
5463,"Eremophila compacta","Eremophila","Scrophulariaceae",NA,NA,15.5,4.75,2.1,NA
5464,"Eremophila complanata","Eremophila","Scrophulariaceae",NA,3.92,27.5,2.5,2,NA
5465,"Eremophila compressa","Eremophila","Scrophulariaceae",NA,1.79,12,4.5,2,NA
5466,"Eremophila conferta","Eremophila","Scrophulariaceae",NA,NA,18.8,9.75,1.5,NA
5467,"Eremophila congesta","Eremophila","Scrophulariaceae",NA,NA,17.5,1.75,1.2,NA
5468,"Eremophila conglomerata","Eremophila","Scrophulariaceae",NA,NA,6.25,5,2.5,NA
5469,"Eremophila cordatisepala","Eremophila","Scrophulariaceae",NA,NA,12.5,3.75,0.5,NA
5470,"Eremophila crassifolia","Eremophila","Scrophulariaceae",NA,NA,7.08,5.42,1,NA
5471,"Eremophila crenulata","Eremophila","Scrophulariaceae",NA,NA,24,7.25,1.5,NA
5472,"Eremophila cryptothrix","Eremophila","Scrophulariaceae",NA,NA,25.2,2,2.5,NA
5473,"Eremophila cuneata","Eremophila","Scrophulariaceae",NA,NA,16.2,7.75,1,NA
5474,"Eremophila cuneifolia","Eremophila","Scrophulariaceae",NA,67.8,10.5,8.75,1.8,NA
5475,"Eremophila dalyana","Eremophila","Scrophulariaceae",NA,NA,35.8,0.9,4,NA
5476,"Eremophila debilis","Eremophila","Scrophulariaceae",72.2,54,65.5,12.9,2,72.2
5477,"Eremophila decipiens","Eremophila","Scrophulariaceae",NA,64.2,30.8,5.7,1.8,NA
5478,"Eremophila decussata","Eremophila","Scrophulariaceae",NA,18.3,9.25,3.75,0.5,NA
5479,"Eremophila delisseri","Eremophila","Scrophulariaceae",NA,NA,6.38,3.08,1,NA
5480,"Eremophila demissa","Eremophila","Scrophulariaceae",NA,NA,9.25,3,0.5,NA
5481,"Eremophila dempsteri","Eremophila","Scrophulariaceae",NA,NA,4.75,0.9,4,NA
5482,"Eremophila dendritica","Eremophila","Scrophulariaceae",NA,NA,6.5,6.5,0.5,NA
5483,"Eremophila densifolia","Eremophila","Scrophulariaceae",NA,6.46,12,1.45,1.8,NA
5484,"Eremophila denticulata","Eremophila","Scrophulariaceae",NA,NA,46.5,11.4,2.5,NA
5485,"Eremophila dichroantha","Eremophila","Scrophulariaceae",NA,NA,9.25,1,3,NA
5486,"Eremophila divaricata","Eremophila","Scrophulariaceae",473,18.5,16.5,2.88,1.5,473
5487,"Eremophila drummondii","Eremophila","Scrophulariaceae",NA,NA,27.5,3.35,2,NA
5488,"Eremophila duttonii","Eremophila","Scrophulariaceae",148,2.44,34,4.94,3.5,148
5489,"Eremophila elderi","Eremophila","Scrophulariaceae",NA,35.6,43,17.8,2,NA
5490,"Eremophila enata","Eremophila","Scrophulariaceae",NA,NA,14.5,6.25,1,NA
5491,"Eremophila eversa","Eremophila","Scrophulariaceae",NA,NA,4.75,1.45,0.5,NA
5492,"Eremophila exilifolia","Eremophila","Scrophulariaceae",NA,NA,7.25,1.05,2,NA
5493,"Eremophila falcata","Eremophila","Scrophulariaceae",NA,NA,25,3.75,3,NA
5494,"Eremophila fallax","Eremophila","Scrophulariaceae",NA,NA,45,4.5,2,NA
5495,"Eremophila fasciata","Eremophila","Scrophulariaceae",NA,NA,44.5,3.15,1,NA
5496,"Eremophila flabellata","Eremophila","Scrophulariaceae",NA,NA,10,7,1,NA
5497,"Eremophila flaccida","Eremophila","Scrophulariaceae",NA,NA,62.5,17,1.5,NA
5498,"Eremophila foliosissima","Eremophila","Scrophulariaceae",NA,NA,64,1.5,1.5,NA
5499,"Eremophila forrestii","Eremophila","Scrophulariaceae",NA,NA,23.5,9.12,2,NA
5500,"Eremophila fraseri","Eremophila","Scrophulariaceae",NA,NA,35,20,4,NA
5501,"Eremophila freelingii","Eremophila","Scrophulariaceae",257,29,57.2,8,2,257
5502,"Eremophila galeata","Eremophila","Scrophulariaceae",NA,NA,47,15,3.5,NA
5503,"Eremophila georgei","Eremophila","Scrophulariaceae",NA,NA,15.5,7.75,3,NA
5504,"Eremophila gibbifolia","Eremophila","Scrophulariaceae",NA,NA,3.67,1.67,0.9,477
5505,"Eremophila gibbosa","Eremophila","Scrophulariaceae",NA,NA,25,12.5,3.5,NA
5506,"Eremophila gibsonii","Eremophila","Scrophulariaceae",NA,NA,33.9,1.45,3.5,NA
5507,"Eremophila gilesii","Eremophila","Scrophulariaceae",122,0.954,42.7,3.15,1.5,122
5508,"Eremophila glabra","Eremophila","Scrophulariaceae",174,55.5,40.1,8.32,3,174
5509,"Eremophila glandulifera","Eremophila","Scrophulariaceae",NA,NA,13.8,5.5,1.3,NA
5510,"Eremophila glutinosa","Eremophila","Scrophulariaceae",NA,NA,14,1,2.5,NA
5511,"Eremophila goodwinii","Eremophila","Scrophulariaceae",NA,153,44,3.62,1.5,NA
5512,"Eremophila graciliflora","Eremophila","Scrophulariaceae",NA,NA,57.5,3.8,3,NA
5513,"Eremophila gracillima","Eremophila","Scrophulariaceae",NA,NA,19,0.7,0.3,NA
5514,"Eremophila granitica","Eremophila","Scrophulariaceae",NA,NA,12.8,5,2,NA
5515,"Eremophila hillii","Eremophila","Scrophulariaceae",NA,NA,13,7,1,NA
5516,"Eremophila hispida","Eremophila","Scrophulariaceae",NA,NA,17.5,0.75,0.4,NA
5517,"Eremophila homoplastica","Eremophila","Scrophulariaceae",NA,NA,3.1,1.25,0.5,NA
5518,"Eremophila hughesii","Eremophila","Scrophulariaceae",NA,130,35,1.25,3,NA
5519,"Eremophila humilis","Eremophila","Scrophulariaceae",NA,NA,54,0.75,0.5,NA
5520,"Eremophila hygrophana","Eremophila","Scrophulariaceae",NA,NA,18.5,3.75,1.2,NA
5521,"Eremophila incisa","Eremophila","Scrophulariaceae",NA,NA,9.65,5.25,0.5,NA
5522,"Eremophila interstans","Eremophila","Scrophulariaceae",NA,NA,15.1,0.85,7,NA
5523,"Eremophila ionantha","Eremophila","Scrophulariaceae",NA,8.7,19.5,1.05,2.5,NA
5524,"Eremophila jucunda","Eremophila","Scrophulariaceae",NA,NA,14.2,4,1.3,NA
5525,"Eremophila laanii","Eremophila","Scrophulariaceae",NA,NA,33,4.5,3,NA
5526,"Eremophila labrosa","Eremophila","Scrophulariaceae",NA,NA,12,1.4,1.8,NA
5527,"Eremophila lachnocalyx","Eremophila","Scrophulariaceae",NA,NA,6.5,3.25,2.2,NA
5528,"Eremophila lactea","Eremophila","Scrophulariaceae",NA,2.58,20.8,4,3.5,NA
5529,"Eremophila lanata","Eremophila","Scrophulariaceae",NA,NA,9,2,0.3,NA
5530,"Eremophila lanceolata","Eremophila","Scrophulariaceae",NA,NA,30.5,4.5,0.7,NA
5531,"Eremophila latrobei","Eremophila","Scrophulariaceae",203,1.7,37.2,2.8,4,203
5532,"Eremophila lehmanniana","Eremophila","Scrophulariaceae",NA,NA,7,3.5,2.5,NA
5533,"Eremophila linearis","Eremophila","Scrophulariaceae",NA,NA,19.5,1.45,4,NA
5534,"Eremophila linsmithii","Eremophila","Scrophulariaceae",NA,NA,40,2,2.5,NA
5535,"Eremophila longifolia","Eremophila","Scrophulariaceae",228,48.1,125,6.91,8,228
5536,"Eremophila lucida","Eremophila","Scrophulariaceae",NA,14.7,69.5,11.2,3.5,NA
5537,"Eremophila macdonnellii","Eremophila","Scrophulariaceae",165,258,18.5,4.88,1.2,165
5538,"Eremophila macgillivrayi","Eremophila","Scrophulariaceae",NA,NA,41.8,4.78,3,NA
5539,"Eremophila mackinlayi","Eremophila","Scrophulariaceae",NA,NA,20,10.5,2.5,NA
5540,"Eremophila macmillaniana","Eremophila","Scrophulariaceae",NA,NA,38.8,15.6,4,NA
5541,"Eremophila maculata","Eremophila","Scrophulariaceae",NA,28.8,27.8,9.5,3,NA
5542,"Eremophila magnifica","Eremophila","Scrophulariaceae",NA,NA,46,10.5,1.5,NA
5543,"Eremophila maitlandii","Eremophila","Scrophulariaceae",NA,NA,44,4.25,4,NA
5544,"Eremophila malacoides","Eremophila","Scrophulariaceae",NA,NA,10,4.25,1.5,NA
5545,"Eremophila margarethae","Eremophila","Scrophulariaceae",NA,NA,27,3.5,1.2,NA
5546,"Eremophila metallicorum","Eremophila","Scrophulariaceae",NA,NA,8,1.4,1.2,NA
5547,"Eremophila micrantha","Eremophila","Scrophulariaceae",NA,NA,21.5,1,3,NA
5548,"Eremophila microtheca","Eremophila","Scrophulariaceae",NA,3.2,11.2,0.75,1.6,NA
5549,"Eremophila miniata","Eremophila","Scrophulariaceae",NA,NA,30.5,5.35,5,NA
5550,"Eremophila mirabilis","Eremophila","Scrophulariaceae",NA,NA,23,2.2,2,NA
5551,"Eremophila mitchellii","Eremophila","Scrophulariaceae",160,1.46,39.8,3.53,10,160
5552,"Eremophila muelleriana","Eremophila","Scrophulariaceae",NA,NA,13.2,9,2.8,NA
5553,"Eremophila neglecta","Eremophila","Scrophulariaceae",NA,27.1,32,5.25,2.5,NA
5554,"Eremophila nivea","Eremophila","Scrophulariaceae",NA,11.3,13,2,2,NA
5555,"Eremophila obliquisepala","Eremophila","Scrophulariaceae",NA,NA,21.5,6.75,0.5,NA
5556,"Eremophila oblonga","Eremophila","Scrophulariaceae",NA,NA,2.4,1.15,0.5,NA
5557,"Eremophila obovata","Eremophila","Scrophulariaceae",NA,55.8,12.6,6.7,0.5,NA
5558,"Eremophila occidens","Eremophila","Scrophulariaceae",NA,NA,22.5,5,1.5,NA
5559,"Eremophila oldfieldii","Eremophila","Scrophulariaceae",NA,NA,70,5.3,6,NA
5560,"Eremophila oppositifolia","Eremophila","Scrophulariaceae",NA,NA,78.6,3.21,10,NA
5561,"Eremophila ovata","Eremophila","Scrophulariaceae",NA,NA,17.5,11.5,1,NA
5562,"Eremophila pallida","Eremophila","Scrophulariaceae",NA,NA,7.5,4.75,0.45,NA
5563,"Eremophila pantonii","Eremophila","Scrophulariaceae",NA,NA,16,2,3,NA
5564,"Eremophila papillata","Eremophila","Scrophulariaceae",NA,NA,10,1.2,0.8,NA
5565,"Eremophila parvifolia","Eremophila","Scrophulariaceae",NA,NA,3.38,1.48,1.5,NA
5566,"Eremophila pendulina","Eremophila","Scrophulariaceae",NA,NA,16.5,1.15,3,NA
5567,"Eremophila pentaptera","Eremophila","Scrophulariaceae",NA,NA,20.8,5,0.4,NA
5568,"Eremophila perglandulosa","Eremophila","Scrophulariaceae",NA,NA,7.25,1.7,1,NA
5570,"Eremophila phillipsii","Eremophila","Scrophulariaceae",NA,NA,32.5,1.65,3.5,NA
5571,"Eremophila phyllopoda","Eremophila","Scrophulariaceae",NA,NA,64,4.25,2.1,NA
5572,"Eremophila physocalyx","Eremophila","Scrophulariaceae",NA,NA,21.8,2.25,3,NA
5573,"Eremophila pilosa","Eremophila","Scrophulariaceae",NA,NA,19.5,6.5,0.9,NA
5574,"Eremophila pinnatifida","Eremophila","Scrophulariaceae",NA,11.5,7.25,3.5,1,NA
5575,"Eremophila platycalyx","Eremophila","Scrophulariaceae",NA,NA,43.5,8.25,4,NA
5576,"Eremophila platythamnos","Eremophila","Scrophulariaceae",NA,9.54,11.6,6,3,NA
5577,"Eremophila polyclada","Eremophila","Scrophulariaceae",183,34.9,43.8,2.28,3,183
5578,"Eremophila praecox","Eremophila","Scrophulariaceae",NA,NA,8,0.85,3,NA
5579,"Eremophila prolata","Eremophila","Scrophulariaceae",NA,NA,30,2.3,1.8,NA
5580,"Eremophila prostrata","Eremophila","Scrophulariaceae",NA,78.9,33,5,NA,NA
5581,"Eremophila psilocalyx","Eremophila","Scrophulariaceae",NA,NA,18.8,2.75,3,NA
5582,"Eremophila pterocarpa","Eremophila","Scrophulariaceae",NA,NA,27,3.3,4,NA
5583,"Eremophila punctata","Eremophila","Scrophulariaceae",NA,NA,12.5,2.5,2.2,NA
5584,"Eremophila pungens","Eremophila","Scrophulariaceae",NA,NA,11,9.5,1.5,NA
5585,"Eremophila punicea","Eremophila","Scrophulariaceae",NA,NA,6.25,2.75,1,NA
5586,"Eremophila purpurascens","Eremophila","Scrophulariaceae",NA,NA,9.75,4.5,1.5,NA
5587,"Eremophila pustulata","Eremophila","Scrophulariaceae",NA,NA,7.25,2,1.5,NA
5588,"Eremophila racemosa","Eremophila","Scrophulariaceae",NA,435,30.5,4.2,1.7,NA
5589,"Eremophila ramiflora","Eremophila","Scrophulariaceae",NA,NA,60,22,3,NA
5590,"Eremophila recurva","Eremophila","Scrophulariaceae",NA,NA,44.5,5.25,3,NA
5591,"Eremophila resinosa","Eremophila","Scrophulariaceae",NA,10.8,9,2.25,1,NA
5592,"Eremophila reticulata","Eremophila","Scrophulariaceae",NA,NA,9.25,8,2.5,NA
5593,"Eremophila revoluta","Eremophila","Scrophulariaceae",NA,NA,4.25,1.25,0.8,NA
5594,"Eremophila rhegos","Eremophila","Scrophulariaceae",NA,NA,27,6.75,1.5,NA
5595,"Eremophila rigens","Eremophila","Scrophulariaceae",NA,NA,65,4,3.5,NA
5596,"Eremophila rigida","Eremophila","Scrophulariaceae",NA,NA,11.2,12.2,4,NA
5597,"Eremophila rostrata","Eremophila","Scrophulariaceae",NA,NA,32.5,0.85,3.5,NA
5598,"Eremophila rotundifolia","Eremophila","Scrophulariaceae",NA,NA,13.1,9.25,2,NA
5599,"Eremophila rugosa","Eremophila","Scrophulariaceae",NA,NA,16.2,0.85,2,NA
5600,"Eremophila saligna","Eremophila","Scrophulariaceae",NA,NA,45,5,3,NA
5601,"Eremophila santalina","Eremophila","Scrophulariaceae",NA,160,64.2,7.25,6,NA
5602,"Eremophila sargentii","Eremophila","Scrophulariaceae",NA,5.15,4.25,1,2,NA
5603,"Eremophila scaberula","Eremophila","Scrophulariaceae",NA,2.95,5,0.8,0.75,NA
5604,"Eremophila scoparia","Eremophila","Scrophulariaceae",283,10.9,16.1,1.88,3,283
5605,"Eremophila serpens","Eremophila","Scrophulariaceae",NA,146,37,10.2,0.4,NA
5606,"Eremophila setacea","Eremophila","Scrophulariaceae",NA,NA,40.5,2.25,2,NA
5607,"Eremophila shonae","Eremophila","Scrophulariaceae",NA,NA,6.5,0.85,2.5,NA
5608,"Eremophila spathulata","Eremophila","Scrophulariaceae",NA,NA,23.5,10,2,NA
5609,"Eremophila spectabilis","Eremophila","Scrophulariaceae",NA,NA,58,2.75,2,NA
5610,"Eremophila spinescens","Eremophila","Scrophulariaceae",NA,NA,12,1.55,0.6,NA
5611,"Eremophila splendens","Eremophila","Scrophulariaceae",NA,NA,28.5,13,1,NA
5612,"Eremophila spongiocarpa","Eremophila","Scrophulariaceae",NA,NA,18,2.9,1,NA
5613,"Eremophila spuria","Eremophila","Scrophulariaceae",NA,NA,34.5,1.5,2,NA
5614,"Eremophila stenophylla","Eremophila","Scrophulariaceae",NA,NA,57,0.8,6,NA
5615,"Eremophila strongylophylla","Eremophila","Scrophulariaceae",NA,NA,13.5,9.75,1,NA
5616,"Eremophila sturtii","Eremophila","Scrophulariaceae",226,0.15,30,1.98,4,226
5617,"Eremophila subfloccosa","Eremophila","Scrophulariaceae",NA,63.6,128,8.25,3,NA
5618,"Eremophila subteretifolia","Eremophila","Scrophulariaceae",NA,6.95,15.5,1.1,0.15,NA
5619,"Eremophila succinea","Eremophila","Scrophulariaceae",NA,NA,23.2,1.5,3,NA
5620,"Eremophila tenella","Eremophila","Scrophulariaceae",NA,NA,19.5,1.5,3,NA
5621,"Eremophila ternifolia","Eremophila","Scrophulariaceae",NA,NA,8.5,3.25,0.5,NA
5622,"Eremophila tetraptera","Eremophila","Scrophulariaceae",NA,NA,50,6.5,3,NA
5623,"Eremophila tietkensii","Eremophila","Scrophulariaceae",NA,NA,51,11.5,2,NA
5624,"Eremophila undulata","Eremophila","Scrophulariaceae",NA,76.6,26,8,0.5,NA
5625,"Eremophila vernicosa","Eremophila","Scrophulariaceae",NA,4.49,5,2.75,1,NA
5626,"Eremophila veronica","Eremophila","Scrophulariaceae",NA,NA,5.25,1.4,1,NA
5627,"Eremophila verrucosa","Eremophila","Scrophulariaceae",NA,NA,11.8,1.8,2,NA
5628,"Eremophila verticillata","Eremophila","Scrophulariaceae",NA,3.25,4.25,1,1,NA
5629,"Eremophila virens","Eremophila","Scrophulariaceae",NA,21.4,57.5,22.5,5,NA
5630,"Eremophila viscida","Eremophila","Scrophulariaceae",NA,13.6,67.5,15.5,5,NA
5631,"Eremophila viscimarginata","Eremophila","Scrophulariaceae",NA,NA,7,3.75,0.5,NA
5632,"Eremophila warnesii","Eremophila","Scrophulariaceae",NA,NA,21,16.2,0.5,NA
5633,"Eremophila weldii","Eremophila","Scrophulariaceae",NA,NA,6.88,2.5,1.8,NA
5634,"Eremophila willsii","Eremophila","Scrophulariaceae",226,53.7,23.8,10,2,226
5635,"Eremophila youngii","Eremophila","Scrophulariaceae",NA,NA,34.5,3.7,5.4,NA
5636,"Glycocystis beckeri","Glycocystis","Scrophulariaceae",NA,NA,17,5,3,NA
5637,"Myoporum acuminatum","Myoporum","Scrophulariaceae",104,17,100,22.9,13,104
5638,"Myoporum bateae","Myoporum","Scrophulariaceae",NA,3.2,83.8,6,4,NA
5639,"Myoporum betcheanum","Myoporum","Scrophulariaceae",NA,NA,98.8,12.5,8,NA
5640,"Myoporum boninense","Myoporum","Scrophulariaceae",NA,24.1,45.5,15,2.8,NA
5641,"Myoporum brevipes","Myoporum","Scrophulariaceae",NA,8.66,22.6,5.2,2,NA
5642,"Myoporum caprarioides","Myoporum","Scrophulariaceae",NA,NA,34.5,9,3,NA
5643,"Myoporum cordifolium","Myoporum","Scrophulariaceae",NA,NA,1.85,1.85,1,NA
5644,"Myoporum crassifolium","Myoporum","Scrophulariaceae",NA,NA,91.5,20.5,6,NA
5645,"Myoporum floribundum","Myoporum","Scrophulariaceae",NA,1.22,78.3,1.8,3,NA
5646,"Myoporum insulare","Myoporum","Scrophulariaceae",137,14.7,63.3,15.8,11,137
5647,"Myoporum obscurum","Myoporum","Scrophulariaceae",NA,NA,102,32.5,6,NA
5648,"Myoporum oppositifolium","Myoporum","Scrophulariaceae",NA,NA,41.2,14.5,1.5,NA
5649,"Myoporum parvifolium","Myoporum","Scrophulariaceae",NA,13.6,28.8,5.62,0.1,NA
5650,"Myoporum petiolatum","Myoporum","Scrophulariaceae",NA,36.2,68.2,29.2,4.5,NA
5651,"Myoporum platycarpum","Myoporum","Scrophulariaceae",234,4.36,66.8,8.34,10,234
5652,"Myoporum tenuifolium","Myoporum","Scrophulariaceae",NA,NA,60,12.5,2,NA
5653,"Myoporum tetrandrum","Myoporum","Scrophulariaceae",NA,NA,56.8,10.8,3,NA
5654,"Myoporum turbinatum","Myoporum","Scrophulariaceae",NA,3.09,32.5,0.75,4,NA
5655,"Myoporum velutinum","Myoporum","Scrophulariaceae",NA,NA,61,11.4,2,NA
5656,"Myoporum viscosum","Myoporum","Scrophulariaceae",NA,16.9,50.5,18,2,NA
5657,"Brachychiton australis","Brachychiton","Malvaceae",NA,95,130,160,20,78.3
5658,"Cochlospermum gillivraei","Cochlospermum","Bixaceae",NA,36.9,95,118,15,61
5659,"Gossia bidwillii","Gossia","Myrtaceae",91.9,31.9,62.5,33.8,25,91.9
5661,"Abrophyllum ornans","Abrophyllum","Rousseaceae",NA,0.0492,141,51.2,8,NA
5662,"Abutilon sp. Mataranka (R.M.Barker 877)","Abutilon","Malvaceae",NA,NA,85,65,2,NA
5663,"Abutilon auritum","Abutilon","Malvaceae",NA,3.82,97.5,85,3,NA
5664,"Abutilon grandifolium","Abutilon","Malvaceae",42,NA,NA,NA,4,42
5665,"Abutilon hannii","Abutilon","Malvaceae",NA,5.01,85,59,2.5,NA
5666,"Abutilon micropetalum","Abutilon","Malvaceae",NA,NA,150,115,3,NA
5667,"Abutilon oxycarpum","Abutilon","Malvaceae",54.9,1.24,51.5,NA,2.5,54.9
5668,"Senegalia albizioides","Senegalia","Fabaceae",NA,NA,10.5,2.75,NA,NA
5669,"Acacia aulacocarpa","Acacia","Fabaceae",NA,19.1,96.2,20.2,15,97.2
5670,"Acacia auriculiformis","Acacia","Fabaceae",110,19.7,153,26.5,35,110
5671,"Acacia bakeri","Acacia","Fabaceae",93.2,39.8,78.3,29.2,40,93.2
5672,"Acacia brassii","Acacia","Fabaceae",NA,7.85,152,21.2,15,NA
5673,"Acacia celsa","Acacia","Fabaceae",134,11.6,102,21.2,30,134
5674,"Acacia cincinnata","Acacia","Fabaceae",NA,6.8,132,21.8,30,NA
5675,"Acacia crassicarpa","Acacia","Fabaceae",78.9,26,175,31.8,30,78.9
5678,"Acacia flavescens","Acacia","Fabaceae",142,30.3,195,38,20,142
5679,"Acacia fleckeri","Acacia","Fabaceae",NA,NA,130,29,16,NA
5680,"Acacia holosericea","Acacia","Fabaceae",NA,7.52,157,42.8,8,186
5681,"Acacia hylonoma","Acacia","Fabaceae",NA,NA,112,13.8,25,NA
5682,"Acacia implexa","Acacia","Fabaceae",NA,18.5,149,17.9,15,149
5683,"Acacia leptocarpa","Acacia","Fabaceae",189,10.3,185,26.8,15,189
5684,"Acacia maidenii","Acacia","Fabaceae",139,13.1,148,16.9,20,139
5685,"Acacia midgleyi","Acacia","Fabaceae",NA,21,108,22.8,25,NA
5686,"Acacia oraria","Acacia","Fabaceae",NA,28.1,76.2,27.5,10,NA
5687,"Acacia orites","Acacia","Fabaceae",NA,8.24,142,5.83,35,NA
5689,"Acacia polystachya","Acacia","Fabaceae",NA,17,162,21,25,NA
5690,"Acacia shirleyi","Acacia","Fabaceae",109,11.9,135,6.5,20,109
5691,"Acacia spirorbis","Acacia","Fabaceae",NA,NA,130,11,12,NA
5692,"Acalypha capillipes","Acalypha","Euphorbiaceae",34.6,2.8,13.5,6.62,3,34.6
5693,"Acalypha eremorum","Acalypha","Euphorbiaceae",NA,1.31,19,8.5,4,NA
5694,"Acalypha lyonsii","Acalypha","Euphorbiaceae",NA,NA,25.5,15,4,NA
5695,"Acalypha nemorum","Acalypha","Euphorbiaceae",NA,NA,76.2,28.5,15,NA
5696,"Aceratium concinnum","Aceratium","Elaeocarpaceae",NA,NA,82.5,32.5,25,NA
5697,"Aceratium doggrellii","Aceratium","Elaeocarpaceae",NA,NA,67.5,20,35,NA
5698,"Aceratium ferrugineum","Aceratium","Elaeocarpaceae",NA,NA,118,55,30,NA
5699,"Aceratium megalospermum","Aceratium","Elaeocarpaceae",NA,NA,72.5,19,12,NA
5700,"Aceratium sericoleopsis","Aceratium","Elaeocarpaceae",37.6,930,52.5,15,15,37.6
5701,"Syzygium divaricatum","Syzygium","Myrtaceae",NA,NA,135,52.5,30,NA
5702,"Syzygium hemilamprum subsp. hemilamprum","Syzygium","Myrtaceae",NA,NA,100,47.5,35,NA
5703,"Syzygium hemilamprum subsp. orophilum","Syzygium","Myrtaceae",NA,NA,40,19.5,35,NA
5704,"Syzygium ingens","Syzygium","Myrtaceae",113,NA,120,35,45,113
5705,"Syzygium mackinnonianum","Syzygium","Myrtaceae",NA,NA,72.5,38.5,30,NA
5706,"Syzygium resa","Syzygium","Myrtaceae",NA,NA,72.5,33,40,NA
5707,"Syzygium smithii","Syzygium","Myrtaceae",93.8,12,105,42.8,25,93.8
5708,"Syzygium pringlei","Syzygium","Myrtaceae",NA,NA,82.5,28,10,NA
5709,"Acradenia euodiiformis","Acradenia","Rutaceae",106,8.25,115,52.5,30,106
5710,"Acronychia peninsularis","Acronychia","Rutaceae",NA,NA,77.5,32.5,20,NA
5711,"Acronychia aberrans","Acronychia","Rutaceae",123,NA,175,90,15,123
5712,"Acronychia acidula","Acronychia","Rutaceae",317,9,180,90,27,317
5713,"Acronychia acronychioides","Acronychia","Rutaceae",125,5.5,132,44,25,125
5714,"Acronychia acuminata","Acronychia","Rutaceae",NA,NA,150,50,8,NA
5715,"Acronychia baeuerlenii","Acronychia","Rutaceae",79.5,NA,85,30,12,79.5
5716,"Acronychia chooreechillum","Acronychia","Rutaceae",NA,NA,70,34,18,NA
5717,"Acronychia crassipetala","Acronychia","Rutaceae",NA,6.48,95,40,18,NA
5718,"Acronychia eungellensis","Acronychia","Rutaceae",NA,NA,70,30,20,NA
5719,"Acronychia laevis","Acronychia","Rutaceae",89.1,13,58.8,30,12,89.1
5720,"Acronychia littoralis","Acronychia","Rutaceae",NA,NA,97.5,46.2,8,NA
5721,"Acronychia parviflora","Acronychia","Rutaceae",NA,2,95,29,4,45.5
5722,"Acronychia pauciflora","Acronychia","Rutaceae",NA,NA,58.8,30.8,10,NA
5723,"Acronychia pubescens","Acronychia","Rutaceae",119,NA,138,47.5,25,119
5724,"Acronychia suberosa","Acronychia","Rutaceae",109,4.17,67.5,19.5,40,109
5725,"Acronychia vestita","Acronychia","Rutaceae",72.3,334,185,90,25,72.3
5726,"Acronychia wilcoxiana","Acronychia","Rutaceae",NA,NA,140,57.5,15,NA
5727,"Acrotriche aggregata","Acrotriche","Ericaceae",148,33.4,20.8,4.28,3,148
5728,"Acrotriche baileyana","Acrotriche","Ericaceae",NA,NA,21.5,7,4,NA
5729,"Spiraeanthemum davidsonii","Spiraeanthemum","Cunoniaceae",NA,NA,80,38.5,15,NA
5730,"Actephila forsteri","Actephila","Phyllanthaceae",NA,NA,125,45,3,NA
5732,"Actephila traceyi","Actephila","Phyllanthaceae",NA,NA,97.5,42.5,12,NA
5733,"Actephila vernicosa","Actephila","Phyllanthaceae",NA,NA,65,32.5,3,NA
5734,"Actephila foetida","Actephila","Phyllanthaceae",NA,NA,305,148,3,NA
5735,"Actephila latifolia","Actephila","Phyllanthaceae",NA,NA,168,60,6,NA
5736,"Actephila mooreana","Actephila","Phyllanthaceae",88.9,NA,100,32.5,12,88.9
5738,"Actephila sessilifolia","Actephila","Phyllanthaceae",NA,NA,87.5,35,6,NA
5740,"Adenostemma lavenia","Adenostemma","Asteraceae",NA,0.738,110,70,1,NA
5742,"Ageratum conyzoides","Ageratum","Asteraceae",NA,NA,40,30,1,NA
5743,"Aglaia cooperae","Aglaia","Meliaceae",NA,NA,72.5,26.5,3,NA
5744,"Aglaia argentea","Aglaia","Meliaceae",NA,NA,190,68.5,15,NA
5745,"Aglaia australiensis","Aglaia","Meliaceae",104,770,130,72.5,10,104
5746,"Aglaia brassii","Aglaia","Meliaceae",NA,NA,128,40,20,NA
5747,"Aglaia brownii","Aglaia","Meliaceae",NA,NA,87.5,46.5,12,NA
5748,"Aglaia elaeagnoidea","Aglaia","Meliaceae",NA,455,90,35,20,NA
5749,"Aglaia euryanthera","Aglaia","Meliaceae",NA,NA,165,65,12,NA
5750,"Aglaia sapindina","Aglaia","Meliaceae",116,288,165,82.5,20,116
5751,"Aglaia silvestris","Aglaia","Meliaceae",NA,NA,155,41,30,NA
5752,"Aglaia spectabilis","Aglaia","Meliaceae",NA,NA,240,100,40,NA
5753,"Aglaia ferruginea","Aglaia","Meliaceae",54,298,175,65,17,54
5754,"Aidia cowleyi","Aidia","Rubiaceae",NA,NA,140,55,20,NA
5755,"Aidia gyropetala","Aidia","Rubiaceae",NA,NA,100,40.5,15,NA
5756,"Aidia racemosa","Aidia","Rubiaceae",NA,6.69,NA,45,15,NA
5758,"Alangium solomonense","Alangium","Cornaceae",NA,NA,95,32.5,25,NA
5759,"Alangium villosum subsp. tomentosum","Alangium","Cornaceae",NA,NA,118,50,9,NA
5760,"Albizia sp. Windsor Tableland (B.Gray 2181)","Albizia","Fabaceae",NA,NA,6,2,35,NA
5761,"Albizia retusa","Albizia","Fabaceae",NA,NA,29,20,40,NA
5762,"Alchornea ilicifolia","Alchornea","Euphorbiaceae",83.3,15.4,58,42.5,7,83.3
5763,"Alchornea rugosa","Alchornea","Euphorbiaceae",NA,NA,152,62.5,5,NA
