"","taxon_name","genus","family","leaf_length","seed_width","seed_length","plant_height","leaf_width","seed_height","leaf_area","wood_density","leaf_thickness"
"56","Agastachys odorata","Agastachys","Proteaceae",63.3,3,4,9,23.8,3,586,NA,0.738
"57","Agathis atropurpurea","Agathis","Araucariaceae",50,3.5,6.75,50,12.5,NA,1140,0.406,0.4
"58","Agathis microstachya","Agathis","Araucariaceae",55,5,18.8,50,15,NA,NA,0.418,NA
"59","Agathis robusta","Agathis","Araucariaceae",90,5.5,18.8,50,25,NA,2300,0.395,0.42
"60","Agrostocrinum scabrum","Agrostocrinum","Hemerocallidaceae",185,NA,2.5,1,6.25,NA,NA,NA,NA
"61","Ailanthus integrifolia subsp. integrifolia","Ailanthus","Simaroubaceae",189,8,14.5,60,73.8,3,10700,0.426,NA
"62","Ailanthus triphysa","Ailanthus","Simaroubaceae",77.5,5,5,45,15,3,NA,0.373,NA
"63","Akania bidwillii","Akania","Akaniaceae",350,8,11,25,32.5,NA,NA,0.572,NA
"64","Alangium villosum subsp. polyosmoides","Alangium","Cornaceae",106,6,13.5,26,32.5,NA,3540,0.533,0.159
"65","Alangium villosum","Alangium","Cornaceae",116,NA,NA,20,50,NA,2490,0.574,0.25
"66","Alania cunninghamii","Alania","Boryaceae",70,NA,1,0.3,0.335,NA,NA,NA,NA
"67","Albizia canescens","Albizia","Fabaceae",36.5,8.67,9.5,10,23.5,8.5,NA,NA,NA
"68","Albizia lebbeck","Albizia","Fabaceae",31.7,8,9,30,16.5,4.5,34000,NA,NA
"69","Albizia procera","Albizia","Fabaceae",37.5,5.25,7.5,20,22,3,NA,0.596,NA
"70","Albizia retusa subsp. retusa","Albizia","Fabaceae",26.5,NA,NA,40,20,NA,NA,NA,NA
"71","Albuca canadensis","Albuca","Asparagaceae",400,NA,NA,1.5,NA,NA,NA,NA,NA
"72","Alectryon connatus","Alectryon","Sapindaceae",92.5,4.5,4.5,20,37.5,NA,NA,NA,NA
"73","Alectryon coriaceus","Alectryon","Sapindaceae",93.3,4,5,12,48.3,NA,2910,0.626,NA
"74","Alectryon forsythii","Alectryon","Sapindaceae",58.3,4.5,5.5,8,30.8,NA,NA,NA,NA
"75","Alectryon kimberleyanus","Alectryon","Sapindaceae",39.5,5.5,5.5,7,23.8,NA,NA,NA,NA
"76","Alectryon repandodentatus","Alectryon","Sapindaceae",103,4.5,5.5,10,65,NA,NA,NA,NA
"77","Alectryon subcinereus","Alectryon","Sapindaceae",111,4.5,5.5,30,42.2,NA,5390,0.632,NA
"78","Alectryon subdentatus","Alectryon","Sapindaceae",50.3,4.5,5.5,12,22.5,NA,NA,NA,NA
"79","Alectryon tomentosus","Alectryon","Sapindaceae",85.8,5.5,6.5,20,33.8,NA,8980,0.745,NA
"80","Alectryon reticulatus","Alectryon","Sapindaceae",85,5,5,10,42.5,NA,NA,NA,NA
"81","Allium ampeloprasum","Allium","Alliaceae",375,NA,NA,2,21.7,NA,NA,NA,NA
"82","Allium neapolitanum","Allium","Alliaceae",215,NA,NA,0.6,17.5,NA,NA,NA,NA
"83","Allium oleraceum","Allium","Alliaceae",300,NA,NA,0.5,3.12,NA,NA,NA,NA
"84","Allium roseum","Allium","Alliaceae",260,NA,NA,0.8,7.75,NA,NA,NA,NA
"85","Allium scorodoprasum","Allium","Alliaceae",NA,NA,NA,0.8,11.8,NA,NA,NA,NA
"86","Allium triquetrum","Allium","Alliaceae",305,NA,NA,0.4,39.3,NA,NA,NA,NA
"87","Allium vineale","Allium","Alliaceae",375,NA,NA,0.8,3.38,NA,NA,NA,NA
"88","Allocasuarina acuaria","Allocasuarina","Casuarinaceae",22.5,NA,NA,3,0.75,NA,NA,NA,NA
"89","Allocasuarina acutivalvis subsp. acutivalvis","Allocasuarina","Casuarinaceae",17.5,NA,NA,NA,NA,NA,NA,NA,NA
"90","Allocasuarina acutivalvis subsp. prinsepiana","Allocasuarina","Casuarinaceae",16,NA,NA,NA,NA,NA,NA,NA,NA
"91","Allocasuarina acutivalvis","Allocasuarina","Casuarinaceae",17.5,3.27,10,8,0.95,NA,182,0.81,NA
"92","Allocasuarina brachystachya","Allocasuarina","Casuarinaceae",3.5,NA,NA,3,0.55,NA,NA,NA,NA
"93","Allocasuarina campestris","Allocasuarina","Casuarinaceae",9.5,2.5,6.44,3,0.9,NA,NA,NA,NA
"94","Allocasuarina corniculata","Allocasuarina","Casuarinaceae",8.5,NA,NA,5,1.15,NA,NA,0.835,NA
"95","Allocasuarina crassa","Allocasuarina","Casuarinaceae",10.7,NA,NA,5,1.45,NA,NA,NA,NA
"96","Allocasuarina decaisneana","Allocasuarina","Casuarinaceae",40,NA,NA,16,1.1,NA,2,1.04,NA
"97","Allocasuarina decussata","Allocasuarina","Casuarinaceae",2.9,NA,NA,15,0.7,NA,NA,NA,NA
"98","Allocasuarina defungens","Allocasuarina","Casuarinaceae",7,NA,NA,2,0.55,NA,NA,NA,NA
"99","Allocasuarina dielsiana","Allocasuarina","Casuarinaceae",8,NA,NA,9,0.9,NA,NA,0.9,NA
"100","Allocasuarina diminuta subsp. annectens","Allocasuarina","Casuarinaceae",NA,NA,NA,2.5,NA,NA,NA,NA,NA
"101","Allocasuarina diminuta subsp. diminuta","Allocasuarina","Casuarinaceae",NA,NA,NA,5,NA,NA,NA,NA,NA
"102","Allocasuarina diminuta subsp. mimica","Allocasuarina","Casuarinaceae",NA,NA,NA,2.5,NA,NA,NA,NA,NA
"103","Allocasuarina diminuta","Allocasuarina","Casuarinaceae",8.5,NA,NA,5,0.85,NA,NA,NA,NA
"104","Allocasuarina distyla","Allocasuarina","Casuarinaceae",8,2.21,5.19,3,1.6,NA,245,NA,1.5
"105","Allocasuarina drummondiana","Allocasuarina","Casuarinaceae",2,NA,NA,3,1.05,NA,NA,NA,NA
"106","Allocasuarina emuina","Allocasuarina","Casuarinaceae",6,NA,NA,1.5,0.7,NA,NA,NA,NA
"107","Allocasuarina eriochlamys subsp. eriochlamys","Allocasuarina","Casuarinaceae",9.5,NA,NA,NA,0.7,NA,NA,NA,NA
"108","Allocasuarina eriochlamys subsp. grossa","Allocasuarina","Casuarinaceae",13.5,NA,NA,NA,0.95,NA,NA,NA,NA
"109","Allocasuarina eriochlamys","Allocasuarina","Casuarinaceae",11.5,NA,NA,3,0.8,NA,NA,NA,NA
"110","Allocasuarina fibrosa","Allocasuarina","Casuarinaceae",12.5,NA,NA,1.5,NA,NA,NA,NA,NA
"111","Allocasuarina filidens","Allocasuarina","Casuarinaceae",13.5,NA,NA,3,0.65,NA,NA,NA,NA
"112","Allocasuarina fraseriana","Allocasuarina","Casuarinaceae",5.98,NA,NA,15,1.05,NA,235,0.624,NA
"113","Allocasuarina glareicola","Allocasuarina","Casuarinaceae",8,NA,NA,2,0.6,NA,NA,NA,NA
"114","Allocasuarina globosa","Allocasuarina","Casuarinaceae",22.5,NA,NA,1.5,1.05,NA,NA,NA,NA
"115","Allocasuarina grampiana","Allocasuarina","Casuarinaceae",4.5,NA,NA,4,0.675,NA,NA,NA,NA
"116","Allocasuarina grevilleoides","Allocasuarina","Casuarinaceae",17,NA,NA,0.4,0.65,NA,NA,NA,NA
"117","Allocasuarina gymnanthera","Allocasuarina","Casuarinaceae",8.5,1.5,4.17,5,0.75,NA,NA,NA,NA
"118","Allocasuarina helmsii","Allocasuarina","Casuarinaceae",5,3.01,5.11,5,0.8,NA,NA,NA,NA
"119","Allocasuarina huegeliana","Allocasuarina","Casuarinaceae",10.5,NA,NA,10,0.85,NA,194,0.762,NA
"120","Allocasuarina humilis","Allocasuarina","Casuarinaceae",2.48,3.83,4.94,2,1,NA,NA,NA,NA
"121","Allocasuarina inophloia","Allocasuarina","Casuarinaceae",5.5,2.54,4.4,10,0.55,NA,NA,0.811,NA
"122","Allocasuarina lehmanniana subsp. ecarinata","Allocasuarina","Casuarinaceae",NA,NA,NA,1,NA,NA,NA,NA,NA
"123","Allocasuarina lehmanniana subsp. lehmanniana","Allocasuarina","Casuarinaceae",NA,NA,NA,4,NA,NA,NA,NA,NA
"124","Allocasuarina lehmanniana","Allocasuarina","Casuarinaceae",7,NA,NA,4,0.95,NA,NA,NA,NA
"125","Allocasuarina littoralis","Allocasuarina","Casuarinaceae",3.66,1.29,3.92,15,0.66,0.734,98,0.633,NA
"126","Allocasuarina luehmannii","Allocasuarina","Casuarinaceae",8,1.87,2.87,15,1.25,NA,216,0.964,NA
"127","Allocasuarina mackliniana subsp. hirtilinea","Allocasuarina","Casuarinaceae",13,NA,NA,NA,1.15,NA,NA,NA,NA
"128","Allocasuarina mackliniana subsp. mackliniana","Allocasuarina","Casuarinaceae",13,NA,NA,NA,1,NA,NA,NA,NA
"129","Allocasuarina mackliniana subsp. xerophila","Allocasuarina","Casuarinaceae",10,NA,NA,NA,1.1,NA,NA,NA,NA
"130","Allocasuarina mackliniana","Allocasuarina","Casuarinaceae",7,NA,NA,3,4.2,NA,NA,NA,NA
"131","Allocasuarina media","Allocasuarina","Casuarinaceae",4.5,2,4.25,3,0.575,NA,NA,NA,NA
"132","Allocasuarina microstachya","Allocasuarina","Casuarinaceae",4,NA,NA,1,0.7,NA,NA,NA,NA
"133","Allocasuarina misera","Allocasuarina","Casuarinaceae",3.9,2.4,5.15,2,0.675,NA,NA,NA,NA
"134","Allocasuarina monilifera","Allocasuarina","Casuarinaceae",5.25,1.45,3.02,5,0.933,0.633,117,0.58,NA
"135","Allocasuarina muelleriana subsp. alticola","Allocasuarina","Casuarinaceae",6,NA,NA,3,0.85,NA,NA,NA,NA
"136","Allocasuarina muelleriana subsp. muelleriana","Allocasuarina","Casuarinaceae",0.7,NA,NA,3,NA,NA,NA,NA,NA
"137","Allocasuarina muelleriana subsp. notocolpica","Allocasuarina","Casuarinaceae",8,NA,NA,3,1,NA,NA,NA,NA
"138","Allocasuarina muelleriana","Allocasuarina","Casuarinaceae",3.8,NA,NA,4,0.675,NA,83.8,0.731,NA
"139","Allocasuarina nana","Allocasuarina","Casuarinaceae",3.05,1.89,2.68,2,0.575,0.645,NA,NA,NA
"140","Allocasuarina ophiolitica","Allocasuarina","Casuarinaceae",10.5,NA,NA,3,0.8,NA,NA,NA,NA
"141","Allocasuarina paludosa","Allocasuarina","Casuarinaceae",7.47,1.67,4.42,3,0.783,NA,96.3,0.682,NA
"142","Allocasuarina paradoxa","Allocasuarina","Casuarinaceae",6,2.68,4.23,2,0.95,NA,NA,NA,NA
"143","Allocasuarina pinaster","Allocasuarina","Casuarinaceae",35,NA,NA,3,1.1,NA,NA,NA,NA
"144","Allocasuarina portuensis","Allocasuarina","Casuarinaceae",16.5,NA,NA,5,0.9,NA,NA,NA,NA
"145","Allocasuarina pusilla","Allocasuarina","Casuarinaceae",3.25,2.97,4.72,2,0.6,NA,NA,NA,0.68
"146","Allocasuarina ramosissima","Allocasuarina","Casuarinaceae",13,NA,NA,1.2,0.8,NA,NA,NA,NA
