"","taxon_name","genus","family","leaf_length","seed_width","seed_length","plant_height","leaf_width","seed_height","leaf_area","wood_density","leaf_thickness"
"5709","Acradenia euodiiformis","Acradenia","Rutaceae",115,1.5,1.5,30,52.5,NA,10400,0.77,NA
"5710","Acronychia peninsularis","Acronychia","Rutaceae",77.5,2.5,3,20,32.5,NA,NA,NA,NA
"5711","Acronychia aberrans","Acronychia","Rutaceae",175,4.5,6.5,15,90,NA,9080,NA,0.303
"5712","Acronychia acidula","Acronychia","Rutaceae",180,3.5,4,27,90,NA,11800,0.532,0.32
"5713","Acronychia acronychioides","Acronychia","Rutaceae",132,2.5,4,25,44,NA,5030,0.543,0.29
"5714","Acronychia acuminata","Acronychia","Rutaceae",150,2.5,4.5,8,50,NA,NA,NA,NA
"5715","Acronychia baeuerlenii","Acronychia","Rutaceae",85,2.5,4,12,30,NA,2180,0.787,NA
"5716","Acronychia chooreechillum","Acronychia","Rutaceae",70,2.5,4,18,34,NA,NA,NA,NA
"5717","Acronychia crassipetala","Acronychia","Rutaceae",95,2.5,4,18,40,NA,NA,NA,NA
"5718","Acronychia eungellensis","Acronychia","Rutaceae",70,2.5,4.75,20,30,NA,NA,NA,NA
"5719","Acronychia laevis","Acronychia","Rutaceae",58.8,2.5,4,12,30,NA,1800,0.587,NA
"5720","Acronychia littoralis","Acronychia","Rutaceae",97.5,1,5.75,8,46.2,NA,NA,NA,NA
"5721","Acronychia parviflora","Acronychia","Rutaceae",95,2.5,5.5,4,29,NA,NA,0.57,NA
"5722","Acronychia pauciflora","Acronychia","Rutaceae",58.8,2.5,4,10,30.8,NA,NA,NA,NA
"5723","Acronychia pubescens","Acronychia","Rutaceae",138,4,4.5,25,47.5,NA,NA,0.499,NA
"5724","Acronychia suberosa","Acronychia","Rutaceae",67.5,3.5,4,40,19.5,NA,2290,0.538,NA
"5725","Acronychia vestita","Acronychia","Rutaceae",185,2.5,4.75,25,90,NA,13500,0.507,0.227
"5726","Acronychia wilcoxiana","Acronychia","Rutaceae",140,3.5,4,15,57.5,3,NA,0.544,NA
"5727","Acrotriche aggregata","Acrotriche","Ericaceae",20.8,2.5,2.25,3,4.28,NA,39.5,0.65,NA
"5728","Acrotriche baileyana","Acrotriche","Ericaceae",21.5,2.5,2.5,4,7,NA,NA,NA,NA
"5729","Spiraeanthemum davidsonii","Spiraeanthemum","Cunoniaceae",80,1,2,15,38.5,NA,NA,NA,NA
"5730","Actephila forsteri","Actephila","Phyllanthaceae",125,4.5,10.8,3,45,NA,NA,NA,NA
"5731","Actephila venusta","Actephila","Phyllanthaceae",NA,NA,NA,12,NA,NA,NA,NA,NA
"5732","Actephila traceyi","Actephila","Phyllanthaceae",97.5,3,12,12,42.5,NA,NA,NA,NA
"5733","Actephila vernicosa","Actephila","Phyllanthaceae",65,4.5,8.75,3,32.5,NA,NA,NA,NA
"5734","Actephila foetida","Actephila","Phyllanthaceae",305,4.5,10,3,148,NA,NA,NA,NA
"5735","Actephila latifolia","Actephila","Phyllanthaceae",168,3.5,8.5,6,60,NA,NA,NA,NA
"5736","Actephila mooreana","Actephila","Phyllanthaceae",100,3.5,3.5,12,32.5,NA,2430,NA,NA
"5737","Actephila petiolaris","Actephila","Phyllanthaceae",NA,NA,13,7,NA,NA,NA,NA,NA
"5738","Actephila sessilifolia","Actephila","Phyllanthaceae",87.5,3,7,6,35,NA,NA,NA,NA
"5739","Adenia heterophylla","Adenia","Passifloraceae",NA,NA,7,30,NA,NA,NA,NA,NA
"5740","Adenostemma lavenia","Adenostemma","Asteraceae",110,NA,NA,1,70,NA,NA,NA,NA
"5741","Adenostemma macrophyllum","Adenostemma","Asteraceae",NA,NA,3,1,NA,NA,NA,NA,NA
"5742","Ageratum conyzoides","Ageratum","Asteraceae",40,NA,NA,1,30,NA,NA,NA,NA
"5743","Aglaia cooperae","Aglaia","Meliaceae",72.5,9.5,13.5,3,26.5,NA,NA,NA,NA
"5744","Aglaia argentea","Aglaia","Meliaceae",190,12.5,26,15,68.5,10,NA,NA,NA
"5745","Aglaia australiensis","Aglaia","Meliaceae",130,15,31,10,72.5,10,NA,0.75,NA
"5746","Aglaia brassii","Aglaia","Meliaceae",128,12.5,17,20,40,8,NA,NA,NA
"5747","Aglaia brownii","Aglaia","Meliaceae",87.5,11.5,13,12,46.5,8,NA,NA,NA
"5748","Aglaia elaeagnoidea","Aglaia","Meliaceae",90,8,10,20,35,NA,NA,NA,NA
"5749","Aglaia euryanthera","Aglaia","Meliaceae",165,10,19,12,65,NA,NA,NA,NA
"5750","Aglaia sapindina","Aglaia","Meliaceae",165,7.5,14.2,20,82.5,NA,9810,0.458,0.2
"5751","Aglaia silvestris","Aglaia","Meliaceae",155,9.5,17.5,30,41,8,NA,NA,NA
"5752","Aglaia spectabilis","Aglaia","Meliaceae",240,21,55,40,100,16,NA,NA,NA
"5753","Aglaia ferruginea","Aglaia","Meliaceae",175,10,16.5,17,65,5,3630,0.698,0.129
"5754","Aidia cowleyi","Aidia","Rubiaceae",140,2.5,4.75,20,55,NA,NA,NA,NA
"5755","Aidia gyropetala","Aidia","Rubiaceae",100,2,3,15,40.5,NA,NA,NA,NA
"5756","Aidia racemosa","Aidia","Rubiaceae",NA,2,2.25,15,45,NA,NA,0.771,NA
"5757","Ailanthus integrifolia","Ailanthus","Simaroubaceae",NA,NA,NA,60,NA,NA,NA,NA,NA
"5758","Alangium solomonense","Alangium","Cornaceae",95,6.5,12.5,25,32.5,NA,NA,NA,NA
"5759","Alangium villosum subsp. tomentosum","Alangium","Cornaceae",118,6.5,15,9,50,NA,NA,0.57,NA
"5760","Albizia sp. Windsor Tableland (B.Gray 2181)","Albizia","Fabaceae",6,9,16,35,2,4,NA,NA,NA
"5761","Albizia retusa","Albizia","Fabaceae",29,4.5,8.75,40,20,3,NA,NA,NA
"5762","Alchornea ilicifolia","Alchornea","Euphorbiaceae",58,6.5,4,7,42.5,NA,1990,0.582,NA
"5763","Alchornea rugosa","Alchornea","Euphorbiaceae",152,6.5,4.5,5,62.5,NA,NA,NA,NA
"5764","Alchornea thozetiana","Alchornea","Euphorbiaceae",108,6.5,5.5,5,55,NA,NA,NA,NA
"5765","Alectryon semicinereus","Alectryon","Sapindaceae",142,4.5,4.5,15,60,NA,NA,NA,NA
"5766","Aleurites moluccana","Aleurites","Euphorbiaceae",140,20,22.5,35,98.8,NA,NA,0.372,0.33
"5767","Alocasia brisbanensis","Alocasia","Araceae",NA,NA,6,2,61.6,NA,6250,NA,NA
"5768","Alphitonia incana","Alphitonia","Rhamnaceae",NA,NA,NA,25,NA,NA,7560,0.574,NA
"5769","Alphitonia whitei","Alphitonia","Rhamnaceae",140,5,5.75,30,57.5,NA,7850,0.588,0.247
"5770","Alstonia constricta","Alstonia","Apocynaceae",120,3,6.5,18,26,2,1150,0.65,NA
"5771","Alstonia muelleriana","Alstonia","Apocynaceae",70,1,5.5,37,42.5,NA,5090,0.609,0.207
"5772","Alstonia spectabilis","Alstonia","Apocynaceae",NA,NA,6.5,25,NA,NA,NA,0.606,NA
"5773","Alyxia grandis","Alyxia","Apocynaceae",NA,10,13,15,NA,NA,NA,NA,NA
"5774","Alyxia ilicifolia","Alyxia","Apocynaceae",NA,5.5,13,5,37.5,NA,60.1,0.7,NA
"5775","Alyxia oblongata","Alyxia","Apocynaceae",30,7,9,5,9.5,NA,NA,NA,NA
"5776","Alyxia orophila","Alyxia","Apocynaceae",NA,5.5,7,5,NA,NA,NA,NA,NA
"5777","Amaranthus hybridus","Amaranthus","Amaranthaceae",70,NA,1,2,NA,NA,NA,NA,NA
"5778","Amaranthus spinosus","Amaranthus","Amaranthaceae",NA,NA,1,1,NA,NA,NA,NA,NA
"5779","Amorphophallus galbra","Amorphophallus","Araceae",NA,NA,11.5,1.5,NA,NA,NA,NA,NA
"5780","Ampelocissus gardineri","Ampelocissus","Vitaceae",105,6.5,6.75,NA,50,3,NA,NA,NA
"5781","Amyema sp. (Forty Mile Scrub)","Amyema","Loranthaceae",NA,NA,4,NA,NA,NA,NA,NA,NA
"5782","Amylotheca sp. (Topaz)","Amylotheca","Loranthaceae",NA,NA,8.5,NA,NA,NA,NA,NA,NA
"5783","Anacolosa papuana","Anacolosa","Olacaceae",102,13,18.2,7,47.5,NA,NA,NA,NA
"5784","Aneilema acuminatum","Aneilema","Commelinaceae",70,NA,NA,0.4,17.5,NA,403,NA,NA
"5785","Aneilema siliculosum","Aneilema","Commelinaceae",NA,NA,NA,0.3,NA,NA,NA,NA,NA
"5786","Angiopteris evecta","Angiopteris","Marattiaceae",800,NA,NA,3,267,NA,NA,NA,NA
"5787","Anisomeles malabarica","Anisomeles","Lamiaceae",70,1.5,1.5,2,41,NA,NA,NA,NA
"5788","Annona glabra","Annona","Annonaceae",NA,NA,12,6,NA,NA,NA,NA,NA
"5789","Annona reticulata","Annona","Annonaceae",NA,NA,10,10,NA,NA,NA,NA,NA
"5790","Annona squamosa","Annona","Annonaceae",NA,NA,14,8,NA,NA,NA,NA,NA
"5791","Anopterus macleayanus","Anopterus","Escalloniaceae",200,1.5,3.5,15,30,NA,11500,0.47,NA
"5792","Anthocarapa nitidula","Anthocarapa","Meliaceae",102,13,19,30,38.8,8,29300,0.664,0.3
"5793","Antidesma bunius","Antidesma","Phyllanthaceae",120,6.5,13.5,10,50,4,NA,0.664,NA
"5794","Antidesma erostre","Antidesma","Phyllanthaceae",93.5,5,6,20,37.5,NA,NA,0.701,NA
"5795","Antidesma excavatum var. excavatum","Antidesma","Phyllanthaceae",108,2.5,2.5,8,47.5,NA,NA,NA,NA
"5796","Antirhea sp. Mt Misery (L.W.Jessup+ GJD3136)","Antirhea","Rubiaceae",NA,NA,7,15,NA,NA,NA,NA,NA
"5797","Antirhea ovatifolia","Antirhea","Rubiaceae",40,3.5,14,5,21,NA,NA,NA,NA
"5798","Antirhea putaminosa","Antirhea","Rubiaceae",31,3.5,9.25,7,17.5,NA,NA,NA,NA
"5799","Aponogeton bullosus","Aponogeton","Aponogetonaceae",NA,NA,2.5,NA,NA,NA,NA,NA,NA
"5800","Aponogeton elongatus","Aponogeton","Aponogetonaceae",100,NA,2.5,NA,30,NA,NA,NA,NA
"5801","Aponogeton vanbruggenii","Aponogeton","Aponogetonaceae",NA,NA,3.5,NA,NA,NA,NA,NA,NA
"5802","Araucaria cunninghamii","Araucaria","Araucariaceae",12.5,4.5,10,50,2.5,NA,11.3,0.443,NA
"5803","Pararchidendron pruinosum","Pararchidendron","Fabaceae",57.5,5.5,6,20,25.8,NA,1140,0.512,0.18
"5804","Archontophoenix cunninghamiana","Archontophoenix","Arecaceae",750,NA,9,30,40.8,NA,9080,0.804,NA
"5805","Archontophoenix maxima","Archontophoenix","Arecaceae",NA,NA,6,22,NA,NA,NA,NA,NA
"5806","Archontophoenix myolensis","Archontophoenix","Arecaceae",NA,NA,16.5,20,NA,NA,NA,NA,NA
"5807","Archontophoenix purpurea","Archontophoenix","Arecaceae",NA,NA,20,25,NA,NA,NA,NA,NA
"5808","Archontophoenix tuckeri","Archontophoenix","Arecaceae",NA,NA,NA,20,NA,NA,NA,NA,NA
"5809","Ardisia hylandii","Ardisia","Primulaceae",62.5,5,5.5,4,17.5,NA,NA,NA,NA
"5810","Ardisia bakeri","Ardisia","Primulaceae",75,4.5,4.5,10,17.5,NA,NA,NA,NA
"5811","Ardisia bifaria","Ardisia","Primulaceae",NA,NA,6,2,NA,NA,NA,NA,NA
"5812","Ardisia crenata","Ardisia","Primulaceae",NA,NA,6,2,NA,NA,NA,NA,NA
"5813","Ardisia elliptica","Ardisia","Primulaceae",NA,NA,5.5,2,NA,NA,NA,NA,NA
"5814","Arenga australasica","Arenga","Arecaceae",NA,NA,14.5,20,NA,NA,NA,NA,NA
"5815","Argophyllum jagonis","Argophyllum","Argophyllaceae",135,0.5,0.5,3,75,NA,NA,NA,NA
"5816","Argophyllum ferrugineum","Argophyllum","Argophyllaceae",52.5,0.5,0.5,4,65,NA,NA,NA,NA
"5817","Argophyllum cryptophlebum","Argophyllum","Argophyllaceae",80,0.5,0.5,3,52.5,NA,NA,NA,NA
"5818","Argophyllum lejourdanii","Argophyllum","Argophyllaceae",112,0.5,0.5,6,45,NA,NA,NA,NA
"5819","Argophyllum nullumense","Argophyllum","Argophyllaceae",100,0.75,0.75,8,35,NA,3680,NA,NA
"5820","Argophyllum verae","Argophyllum","Argophyllaceae",145,0.5,0.5,3,77.5,NA,NA,NA,NA
"5821","Argyreia nervosa","Argyreia","Convolvulaceae",NA,NA,5.5,NA,NA,NA,NA,NA,NA
"5822","Argyrodendron sp. Boonjie (B.P.Hyland RFK 2139)","Argyrodendron","Malvaceae",125,5.5,5.5,20,30,NA,NA,0.74,NA
"5823","Argyrodendron sp. Karnak (P.I.Forster+ PIF10711)","Argyrodendron","Malvaceae",122,10,10.5,25,52.5,NA,NA,NA,NA
"5824","Argyrodendron sp. Mt Haig (L.S.Smith+ 14307)","Argyrodendron","Malvaceae",102,9,9,30,22.5,NA,NA,NA,NA
"5825","Argyrodendron sp. Whitsundays (W.J.McDonald+ 5831)","Argyrodendron","Malvaceae",130,9,9,20,55,NA,NA,NA,NA
"5826","Argyrodendron sp. Whyanbeel (B.P.Hyland RFK1106)","Argyrodendron","Malvaceae",242,9,9,25,92.5,NA,NA,NA,NA
"5827","Argyrodendron actinophyllum","Argyrodendron","Malvaceae",140,NA,NA,47,32.5,NA,3710,0.698,NA
"5828","Argyrodendron polyandrum","Argyrodendron","Malvaceae",85,6.5,6.5,45,30,NA,NA,0.87,NA
"5829","Argyrodendron trifoliolatum","Argyrodendron","Malvaceae",106,6,6,53,30,NA,3480,0.662,0.209
"5830","Aristolochia nauseifolia","Aristolochia","Aristolochiaceae",205,11,8.25,NA,90,3,NA,NA,NA
"5831","Artanema fimbriatum","Artanema","Linderniaceae",60,NA,NA,1,20,NA,NA,NA,NA
"5832","Artocarpus heterophyllus","Artocarpus","Moraceae",NA,NA,30,20,NA,NA,NA,NA,NA
"5833","Arytera sp. Dryander Creek (P.R.Sharpe 4184)","Arytera","Sapindaceae",110,4.5,5.5,6,46,NA,NA,NA,NA
"5834","Arytera pseudofoveolata","Arytera","Sapindaceae",115,4.5,7.75,25,47.5,NA,NA,NA,NA
"5835","Asclepias curassavica","Asclepias","Apocynaceae",108,NA,NA,1.5,17.2,NA,NA,NA,NA
"5836","Asparagus plumosus","Asparagus","Asparagaceae",NA,NA,3,2,NA,NA,NA,NA,NA
"5837","Asparagus racemosus","Asparagus","Asparagaceae",NA,NA,4,5,NA,NA,NA,NA,NA
"5838","Asteromyrtus angustifolia","Asteromyrtus","Myrtaceae",38.5,1,2.75,10,5,NA,NA,NA,NA
"5839","Asteromyrtus brassii","Asteromyrtus","Myrtaceae",70,1,2.75,25,10,NA,NA,NA,NA
"5840","Asystasia sp. Newcastle Bay (L.J.Brass 18671)","Asystasia","Acanthaceae",NA,NA,4,1,NA,NA,NA,NA,NA
"5841","Asystasia australasica","Asystasia","Acanthaceae",NA,NA,2.5,0.5,NA,NA,NA,NA,NA
"5842","Atalaya oligoclada","Atalaya","Sapindaceae",72.5,4,6.5,3,30,NA,NA,NA,NA
"5843","Atractocarpus chartaceus","Atractocarpus","Rubiaceae",100,2.5,4.25,6,17.5,NA,2040,0.672,NA
"5844","Atractocarpus fitzalanii subsp. fitzalanii","Atractocarpus","Rubiaceae",142,6,7.75,20,90,1.5,17200,0.671,NA
"5845","Atractocarpus fitzalanii subsp. tenuipes","Atractocarpus","Rubiaceae",110,5,6.5,20,52.5,1.5,NA,0.66,NA
"5846","Atractocarpus merikin","Atractocarpus","Rubiaceae",120,4.5,7,5,60,3,4290,0.723,0.129
"5847","Atractocarpus sessilis","Atractocarpus","Rubiaceae",75,3.5,5.75,15,160,NA,NA,NA,NA
"5848","Auranticarpa edentata","Auranticarpa","Pittosporaceae",55,2.5,3,20,26,NA,NA,NA,NA
"5849","Auranticarpa ilicifolia","Auranticarpa","Pittosporaceae",115,5,5.75,20,40,NA,NA,NA,NA
"5850","Auranticarpa papyracea","Auranticarpa","Pittosporaceae",95,3.5,6.5,35,35,NA,NA,NA,NA
"5851","Austrobuxus megacarpus","Austrobuxus","Picrodendraceae",66,6,9.5,30,23,NA,NA,NA,NA
"5852","Austrobuxus swainii","Austrobuxus","Picrodendraceae",105,4.5,5.5,40,30,NA,NA,0.516,NA
"5853","Austrosteenisia mollitricha","Austrosteenisia","Fabaceae",89.5,4,5.5,NA,41.5,3,NA,NA,NA
"5854","Backhousia enata","Backhousia","Myrtaceae",26.5,2.5,2.5,12,15,NA,NA,NA,NA
"5855","Backhousia angustifolia","Backhousia","Myrtaceae",32.5,2.5,2.5,15,6.5,NA,NA,NA,NA
"5856","Syzygium anisatum","Syzygium","Myrtaceae",87.5,2.5,2.5,45,17.5,NA,NA,NA,NA
"5857","Backhousia bancroftii","Backhousia","Myrtaceae",102,2.5,3.5,33,37.5,NA,NA,0.819,NA
"5858","Backhousia citriodora","Backhousia","Myrtaceae",92.5,1.5,2,25,30,NA,1600,0.827,NA
"5859","Backhousia hughesii","Backhousia","Myrtaceae",67.5,2.5,2.5,35,30,NA,NA,0.87,NA
"5860","Backhousia kingii","Backhousia","Myrtaceae",26.5,2,2.25,20,15,NA,NA,NA,NA
"5861","Backhousia myrtifolia","Backhousia","Myrtaceae",55,1,1.5,35,22.5,NA,737,0.796,NA
"5862","Backhousia oligantha","Backhousia","Myrtaceae",20,1,1,12,9,NA,NA,NA,NA
"5863","Backhousia sciadophora","Backhousia","Myrtaceae",67.5,2.5,1.75,30,32.5,NA,NA,0.688,NA
"5864","Baeckia virgata","Baeckia","Myrtaceae",NA,NA,NA,11,NA,NA,NA,NA,NA
"5865","Baileyoxylon lanceolatum","Baileyoxylon","Achariaceae",130,16.5,16.5,30,45,NA,NA,NA,NA
"5866","Balanophora fungosa","Balanophora","Balanophoraceae",NA,NA,NA,0.1,NA,NA,NA,NA,NA
"5867","Baloghia inophylla","Baloghia","Euphorbiaceae",101,6.5,8.5,24,42.5,NA,5040,0.599,NA
"5868","Baloghia marmorata","Baloghia","Euphorbiaceae",108,7,14.2,8,35,NA,NA,NA,NA
"5869","Baloghia parviflora","Baloghia","Euphorbiaceae",128,5.5,8,20,43.5,NA,NA,NA,NA
"5870","Barleria cristata","Barleria","Acanthaceae",NA,NA,NA,2,NA,NA,NA,NA,NA
"5871","Barongia lophandra","Barongia","Myrtaceae",170,3.5,7,36,65,NA,NA,NA,NA
"5872","Barringtonia asiatica","Barringtonia","Lecythidaceae",260,45,45,30,120,NA,NA,0.436,NA
"5873","Barringtonia calyptrata","Barringtonia","Lecythidaceae",270,30,30,30,85,NA,NA,0.451,NA
"5874","Barringtonia racemosa","Barringtonia","Lecythidaceae",300,20,30,27,115,NA,53600,0.456,NA
"5875","Bauhinia monandra","Bauhinia","Fabaceae",NA,NA,11,12,NA,NA,NA,NA,NA
"5876","Bedfordia arborescens","Bedfordia","Asteraceae",198,1.5,2.75,12,40.8,NA,4340,0.556,NA
"5877","Berrya javanica","Berrya","Malvaceae",154,4.5,6,25,88.2,4.5,NA,NA,NA
"5878","Bertya polystigma","Bertya","Euphorbiaceae",32,3.5,4.75,6,5.5,NA,NA,NA,NA
"5879","Shonia tristigma","Shonia","Euphorbiaceae",27.5,3.5,6,4,5,NA,NA,NA,NA
"5880","Bidens bipinnata","Bidens","Asteraceae",110,NA,NA,1.6,55,NA,NA,NA,NA
"5881","Bidens pilosa","Bidens","Asteraceae",55,NA,NA,1,37.5,NA,NA,NA,NA
"5882","Biophytum petersianum","Biophytum","Oxalidaceae",NA,NA,NA,0.2,NA,NA,NA,NA,NA
"5883","Bischofia javanica","Bischofia","Phyllanthaceae",95,2.5,4.75,30,52.5,NA,NA,0.557,NA
"5884","Blainvillea cunninghamii","Blainvillea","Asteraceae",NA,NA,NA,1.5,NA,NA,NA,NA,NA
"5885","Blumea milnei","Blumea","Asteraceae",NA,NA,NA,1.5,NA,NA,NA,NA,NA
"5886","Bobea myrtoides","Bobea","Rubiaceae",77.5,3.5,8.75,18,33,NA,NA,NA,NA
"5887","Boea hygroscopica","Boea","Gesneriaceae",NA,NA,NA,0.2,NA,NA,NA,NA,NA
"5888","Boea kinnearii","Boea","Gesneriaceae",NA,NA,NA,0.2,NA,NA,NA,NA,NA
"5889","Boehmeria nivea","Boehmeria","Urticaceae",NA,NA,NA,5,NA,NA,NA,NA,NA
"5890","Bonamia dietrichiana","Bonamia","Convolvulaceae",21.5,4.5,5.25,NA,12.5,3,NA,NA,NA
"5891","Boronia alulata","Boronia","Rutaceae",7.5,2.5,3,3,2,NA,NA,NA,NA
"5892","Boronia excelsa","Boronia","Rutaceae",37,2,3,3,4,NA,NA,NA,NA
"5893","Bosistoa floydii","Bosistoa","Rutaceae",112,4,5.75,20,25,NA,NA,NA,NA
"5894","Bosistoa medicinalis","Bosistoa","Rutaceae",122,5.5,8.5,20,60,NA,NA,NA,NA
"5895","Bosistoa pentacocca","Bosistoa","Rutaceae",180,10,14.2,20,42.5,NA,22800,0.682,NA
"5896","Bosistoa selwynii","Bosistoa","Rutaceae",82.5,7,9.5,22,47.5,5,NA,NA,NA
"5897","Bosistoa transversa","Bosistoa","Rutaceae",82.5,7,9.5,22,41.2,5,NA,0.839,NA
"5898","Bossiaea arenicola","Bossiaea","Fabaceae",13,3.5,4,12,13,NA,NA,NA,NA
"5899","Bouchardatia neurococca","Bouchardatia","Rutaceae",87.5,4.5,6.5,15,30,4,NA,NA,NA
"5900","Brachychiton acerifolius","Brachychiton","Malvaceae",190,7.5,11,45,71.2,NA,32400,0.338,NA
"5901","Brachychiton albidus","Brachychiton","Malvaceae",97.5,5,10,8,122,NA,NA,NA,NA
"5902","Brachychiton chillagoensis","Brachychiton","Malvaceae",155,5.5,10.5,10,175,NA,NA,NA,NA
"5903","Brachychiton compactus","Brachychiton","Malvaceae",90,5.5,8,15,40,NA,NA,NA,NA
"5904","Brachychiton discolor","Brachychiton","Malvaceae",125,5.5,9.5,35,145,NA,14200,0.253,NA
"5905","Brachychiton garrawayae","Brachychiton","Malvaceae",100,5.5,9,12,115,NA,NA,NA,NA
"5906","Brachychiton grandiflorus","Brachychiton","Malvaceae",120,5,9.5,20,130,NA,NA,NA,NA
"5907","Brachychiton paradoxus","Brachychiton","Malvaceae",NA,5,10,6,NA,NA,NA,0.534,NA
"5908","Brachychiton rupestris","Brachychiton","Malvaceae",95,4.5,6,25,45.5,NA,NA,NA,NA
"5909","Brachychiton velutinosus","Brachychiton","Malvaceae",145,5,11.5,20,150,NA,NA,NA,NA
"5910","Breynia oblongifolia","Breynia","Phyllanthaceae",22,2.5,3.5,8,13.7,NA,468,0.593,0.225
"5911","Bridelia exaltata","Bridelia","Phyllanthaceae",85,7,7,35,35,NA,2290,0.727,NA
"5912","Bridelia finalis","Bridelia","Phyllanthaceae",120,2.5,5.5,10,62.5,NA,NA,NA,NA
"5913","Bridelia insulana","Bridelia","Phyllanthaceae",140,2.5,6,16,57.5,NA,12400,0.533,NA
"5914","Bridelia leichhardtii","Bridelia","Phyllanthaceae",57.5,2.25,4.5,15,25.5,NA,1100,0.629,NA
"5915","Brillantaisia lamium","Brillantaisia","Acanthaceae",NA,NA,1.5,2,NA,NA,NA,NA,NA
"5916","Brombya smithii","Brombya","Rutaceae",145,1.5,3.5,7,60,NA,NA,NA,NA
"5917","Brownlowia argentata","Brownlowia","Malvaceae",155,2,2.5,10,85,NA,NA,0.396,NA
"5918","Bursaria incana","Bursaria","Pittosporaceae",47.5,2.5,4,10,9.75,1,NA,NA,NA
"5919","Bursaria tenuifolia","Bursaria","Pittosporaceae",60,2.5,4,20,17,1,NA,NA,NA
"5920","Caelospermum sp. (Kingfisher Park)","Caelospermum","Rubiaceae",NA,NA,7,NA,NA,NA,NA,NA,NA
"5921","Coelospermum paniculatum","Coelospermum","Rubiaceae",101,3.5,6.75,NA,53.8,NA,NA,NA,NA
"5922","Cajanus acutifolius","Cajanus","Fabaceae",38.5,3.25,4.08,2,17,3.12,NA,NA,NA
"5923","Cajanus reticulatus","Cajanus","Fabaceae",67.5,NA,4.5,2,45,NA,NA,NA,NA
"5924","Calamus aruensis","Calamus","Arecaceae",NA,NA,8.5,NA,NA,NA,NA,NA,NA
"5925","Calamus caryotoides","Calamus","Arecaceae",NA,NA,10,NA,NA,NA,5620,0.456,NA
"5926","Calamus moti","Calamus","Arecaceae",NA,NA,9.5,37,NA,NA,11200,0.448,0.0781
"5927","Calamus vitiensis","Calamus","Arecaceae",NA,NA,7,NA,NA,NA,NA,NA,NA
"5928","Calamus warburgii","Calamus","Arecaceae",NA,NA,10,NA,NA,NA,NA,NA,NA
"5929","Ackama australiensis","Ackama","Cunoniaceae",87.5,1,1,30,27.5,NA,NA,0.482,NA
"5930","Ackama paniculosa","Ackama","Cunoniaceae",106,NA,1,45,40,NA,7710,0.56,0.29
"5931","Callerya sp. Beatrice River (L.S.Smith 10487)","Callerya","Fabaceae",110,42.5,52.5,NA,42.5,NA,NA,NA,NA
"5932","Calopogonium mucunoides","Calopogonium","Fabaceae",NA,NA,3.5,NA,NA,NA,6480,NA,NA
"5933","Callerya pilipes","Callerya","Fabaceae",70,23,21.5,NA,35,12,NA,NA,NA
"5934","Callicarpa brevistyla","Callicarpa","Lamiaceae",110,2,3,7,77.5,NA,NA,NA,NA
"5935","Callicarpa candicans","Callicarpa","Lamiaceae",118,2,2.5,8,52.5,NA,NA,NA,NA
"5936","Callicarpa caudata","Callicarpa","Lamiaceae",145,1,1,4,40,NA,NA,NA,NA
"5937","Callicoma serratifolia","Callicoma","Cunoniaceae",80,1,2,35,38.6,NA,3090,0.488,0.194
"5938","Callistemon recurvus","Callistemon","Myrtaceae",25.5,1,1,7,5,NA,NA,NA,NA
"5939","Callistemon viminalis","Callistemon","Myrtaceae",57.5,1,1,15,7,NA,493,0.664,0.328
"5940","Calophyllum australianum","Calophyllum","Clusiaceae",105,10,10,30,30,NA,3600,0.608,NA
"5941","Calophyllum bicolor","Calophyllum","Clusiaceae",110,5,5.75,10,32.5,NA,NA,NA,NA
"5942","Calophyllum costatum","Calophyllum","Clusiaceae",67.5,25,27.8,35,32.5,NA,1660,0.609,0.33
"5943","Calotropis procera","Calotropis","Apocynaceae",NA,NA,9,4,NA,NA,NA,NA,NA
"5944","Camellia sinensis","Camellia","Theaceae",NA,NA,12.5,5,NA,NA,NA,NA,NA
"5945","Camptostemon schultzii","Camptostemon","Malvaceae",90,NA,9.5,22,30,NA,NA,NA,NA
"5946","Canarium acutifolium","Canarium","Burseraceae",270,6.5,10.5,20,112,NA,NA,NA,NA
"5947","Canarium australianum var. australianum","Canarium","Burseraceae",95,11,17.5,40,42.5,NA,NA,NA,NA
"5948","Canavalia cathartica","Canavalia","Fabaceae",110,11,16.7,NA,74.5,8.5,NA,NA,NA
"5949","Canavalia papuana","Canavalia","Fabaceae",110,NA,14,NA,76,NA,NA,NA,NA
"5950","Canavalia rosea","Canavalia","Fabaceae",72.5,NA,16.5,NA,57.5,3,26100,NA,NA
"5951","Psydrax johnsonii","Psydrax","Rubiaceae",NA,NA,NA,8,NA,NA,NA,NA,NA
"5952","Psydrax banksii","Psydrax","Rubiaceae",47.5,3.5,5,6,26.5,NA,NA,NA,NA
"5953","Psydrax laxiflorens","Psydrax","Rubiaceae",85,3.5,9.5,20,47.5,NA,NA,NA,NA
"5954","Psydrax montigena","Psydrax","Rubiaceae",NA,NA,NA,30,NA,NA,NA,NA,NA
"5955","Psydrax reticulata","Psydrax","Rubiaceae",52.5,3.5,3.5,6,47.5,NA,NA,NA,NA
"5956","Psydrax paludosa","Psydrax","Rubiaceae",24,2.5,2.5,8,8,NA,NA,NA,NA
