X,taxon_name,genus,family,leaf_mass_per_area,leaf_length,leaf_width,plant_height,leaf_area,wood_density,leaf_thickness,leaf_N_per_dry_mass,seed_dry_mass,leaf_P_per_dry_mass,leaf_C_per_dry_mass,plant_diameter_breast_height,leaf_lifespan
6200,Diospyros littorea,Diospyros,Ebenaceae,NA,67.5,33,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
6201,Diospyros mabacea,Diospyros,Ebenaceae,NA,105,38.8,25,NA,NA,NA,NA,245,NA,NA,300,NA
6202,Diospyros yandina,Diospyros,Ebenaceae,NA,55,30,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
6203,Diospyros pentamera,Diospyros,Ebenaceae,123,67.5,24,20,2250,0.593,NA,NA,NA,NA,NA,600,NA
6204,Diplatia furcata,Diplatia,Loranthaceae,NA,65,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6205,Diplocyclos palmatus,Diplocyclos,Cucurbitaceae,NA,87.5,102,5,14300,NA,NA,NA,15.8,NA,NA,NA,NA
6206,Diploglottis bernieana,Diploglottis,Sapindaceae,NA,230,150,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
6207,Diploglottis harpullioides,Diploglottis,Sapindaceae,NA,191,70,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
6208,Diploglottis obovata,Diploglottis,Sapindaceae,NA,110,49,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
6209,Diploglottis pedleyi,Diploglottis,Sapindaceae,NA,220,47.5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
6210,Dipteracanthus australasicus,Dipteracanthus,Acanthaceae,143,16.6,9,1.5,NA,NA,NA,19.5,3.31,NA,359,NA,NA
6211,Dischidia litoralis,Dischidia,Apocynaceae,NA,25,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6212,Dischidia major,Dischidia,Apocynaceae,NA,62.5,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6213,Dischidia nummularia,Dischidia,Apocynaceae,NA,10.5,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6214,Dischidia ovata,Dischidia,Apocynaceae,NA,35,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6215,Dissiliaria indistincta,Dissiliaria,Picrodendraceae,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
6216,Dissiliaria laxinervis,Dissiliaria,Picrodendraceae,NA,132,57.5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
6217,Dissiliaria surculosa,Dissiliaria,Picrodendraceae,NA,41.5,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
6218,Dissiliaria tuckeri,Dissiliaria,Picrodendraceae,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
6219,Dissotis rotundifolia,Dissotis,Melastomataceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6220,Dodonaea lanceolata var. lanceolata,Dodonaea,Sapindaceae,NA,60,13.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
6221,Dodonaea lanceolata var. subsessilifolia,Dodonaea,Sapindaceae,NA,60,13.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
6222,Dolichandrone spathacea,Dolichandrone,Bignoniaceae,NA,85,42.5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
6223,Dracophyllum sayeri,Dracophyllum,Ericaceae,NA,325,15,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
6224,Drosera adelae,Drosera,Droseraceae,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
6225,Drosera prolifera,Drosera,Droseraceae,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
6226,Drosera schizandra,Drosera,Droseraceae,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
6227,Drosera spatulata,Drosera,Droseraceae,118,14,5,0.25,73.6,NA,NA,NA,0.0138,NA,NA,NA,NA
6228,Drypetes acuminata,Drypetes,Putranjivaceae,NA,77.5,32.5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
6229,Drypetes iodoformis,Drypetes,Putranjivaceae,NA,105,42.5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
6230,Drypetes vernicosa,Drypetes,Putranjivaceae,NA,97.5,39,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
6231,Duboisia leichhardtii,Duboisia,Solanaceae,NA,57.5,18,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
6232,Duboisia myoporoides,Duboisia,Solanaceae,59.9,95,22,24,2270,0.374,0.295,16.9,2.32,NA,NA,200,NA
6233,Duranta erecta,Duranta,Verbenaceae,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
6234,Dysoxylum acutangulum,Dysoxylum,Meliaceae,NA,95,40,37,NA,NA,NA,NA,NA,NA,NA,NA,NA
6235,Dysoxylum fraserianum,Dysoxylum,Meliaceae,105,75,28.8,57,21600,0.613,0.255,NA,NA,NA,NA,3500,NA
6236,Dysoxylum gaudichaudianum,Dysoxylum,Meliaceae,NA,190,67.5,36,NA,0.637,NA,NA,NA,NA,NA,NA,NA
6237,Dysoxylum klanderi,Dysoxylum,Meliaceae,NA,145,65,35,NA,0.746,NA,NA,2600,NA,NA,NA,NA
6238,Dysoxylum latifolium,Dysoxylum,Meliaceae,NA,95,50,30,NA,NA,NA,NA,2200,NA,NA,NA,NA
6239,Dysoxylum mollissimum,Dysoxylum,Meliaceae,NA,100,38.8,35,NA,0.542,NA,NA,NA,NA,NA,1200,NA
6240,Dysoxylum pumilum,Dysoxylum,Meliaceae,NA,190,82.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
6241,Dysoxylum rufum,Dysoxylum,Meliaceae,56.1,145,35,30,NA,0.54,NA,NA,108,NA,NA,740,NA
6242,Dysoxylum setosum,Dysoxylum,Meliaceae,NA,170,70,30,NA,0.538,NA,NA,NA,NA,NA,NA,NA
6243,Eclipta prostrata,Eclipta,Asteraceae,NA,65,10,1,1650,NA,NA,NA,0.958,NA,NA,NA,NA
6244,Eucalyptus crebra,Eucalyptus,Myrtaceae,137,109,13.8,35,1000,0.761,0.344,15.8,1.2,1.66,546,NA,NA
6245,Eucalyptus grandis,Eucalyptus,Myrtaceae,146,130,26.2,75,3450,0.616,0.32,17,0.701,0.943,NA,NA,NA
6246,Eucalyptus resinifera subsp. resinifera,Eucalyptus,Myrtaceae,NA,125,22.8,45,2400,0.63,NA,NA,NA,NA,NA,NA,NA
6247,Eucalyptus pellita,Eucalyptus,Myrtaceae,NA,146,38.8,40,2080,0.758,NA,NA,1.87,NA,NA,NA,NA
6248,Eucalyptus tereticornis,Eucalyptus,Myrtaceae,194,153,26.7,50,2550,0.716,0.35,14.7,0.801,0.752,502,NA,NA
6249,Ehretia sp. Whitfield Range (R.Jago 17),Ehretia,Boraginaceae,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
6250,Ehretia acuminata,Ehretia,Boraginaceae,58.1,128,55,30,NA,0.513,NA,NA,26.6,NA,NA,900,NA
6251,Ehretia grahamii,Ehretia,Boraginaceae,NA,37.5,25,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
6252,Ehretia saligna var. membranifolia,Ehretia,Boraginaceae,NA,78.8,16.2,12,322,NA,NA,NA,NA,NA,NA,NA,NA
6253,Einadia hastata,Einadia,Chenopodiaceae,68.3,NA,NA,2,154,NA,NA,61,0.635,NA,NA,NA,NA
6254,Elaeocarpus hylobroma,Elaeocarpus,Elaeocarpaceae,NA,75,17.5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
6255,Elaeocarpus sp. Mt Bellenden Ker (L.J.Brass 18336),Elaeocarpus,Elaeocarpaceae,NA,65,26.5,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
6256,Elaeocarpus carbinensis,Elaeocarpus,Elaeocarpaceae,NA,120,57.5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
6257,Elaeocarpus sp. Windsor Tableland (L.W.Jessup+ GJM1378),Elaeocarpus,Elaeocarpaceae,NA,92.5,32.5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
6258,Elaeocarpus bancroftii,Elaeocarpus,Elaeocarpaceae,NA,115,37.5,30,NA,0.736,NA,NA,5630,NA,NA,NA,NA
6259,Elaeocarpus carolinae,Elaeocarpus,Elaeocarpaceae,NA,75,25,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
6260,Elaeocarpus coorangooloo,Elaeocarpus,Elaeocarpaceae,NA,87.5,50,35,NA,0.512,NA,NA,15,NA,NA,NA,NA
6261,Elaeocarpus culminicola,Elaeocarpus,Elaeocarpaceae,NA,96,37.8,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
6262,Elaeocarpus elliffii,Elaeocarpus,Elaeocarpaceae,111,75,25,36,1450,NA,0.247,16.1,NA,0.664,NA,NA,NA
6263,Elaeocarpus eumundi,Elaeocarpus,Elaeocarpaceae,164,125,33.8,30,2980,0.676,0.285,11.7,36,0.481,NA,500,NA
6264,Elaeocarpus ferruginiflorus,Elaeocarpus,Elaeocarpaceae,181,47.5,25,25,1060,NA,0.38,11.8,NA,0.503,NA,NA,NA
6265,Elaeocarpus foveolatus,Elaeocarpus,Elaeocarpaceae,151,85,25,30,947,0.33,0.407,14.3,610,0.863,NA,NA,NA
6266,Elaeocarpus grahamii,Elaeocarpus,Elaeocarpaceae,NA,125,42.5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
6267,Elaeocarpus grandis,Elaeocarpus,Elaeocarpaceae,101,135,25,38,3150,0.461,0.169,21.7,2340,1.47,482,2000,NA
6268,Elaeocarpus holopetalus,Elaeocarpus,Elaeocarpaceae,133,52.3,23.5,25,426,NA,0.37,9.72,210,0.84,NA,2000,NA
6269,Elaeocarpus johnsonii,Elaeocarpus,Elaeocarpaceae,NA,140,75,18,NA,0.566,NA,NA,NA,NA,NA,NA,NA
6270,Elaeocarpus kirtonii,Elaeocarpus,Elaeocarpaceae,110,135,30,45,3420,0.581,NA,NA,228,NA,NA,2000,NA
6271,Elaeocarpus largiflorens subsp. largiflorens,Elaeocarpus,Elaeocarpaceae,NA,118,67.5,29,4770,0.425,0.178,NA,NA,NA,NA,NA,NA
6272,Elaeocarpus largiflorens subsp. retinervis,Elaeocarpus,Elaeocarpaceae,NA,100,60,25,NA,0.4,NA,NA,NA,NA,NA,NA,NA
6273,Elaeocarpus linsmithii,Elaeocarpus,Elaeocarpaceae,NA,100,37.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
6274,Elaeocarpus obovatus,Elaeocarpus,Elaeocarpaceae,134,75,25,45,992,0.607,NA,NA,86.2,NA,NA,1500,NA
6275,Elaeocarpus ruminatus,Elaeocarpus,Elaeocarpaceae,129,100,35,30,3000,0.482,0.253,16.8,79.5,0.969,NA,NA,NA
6276,Elaeocarpus sericopetalus,Elaeocarpus,Elaeocarpaceae,151,80,22.5,20,1720,0.625,0.255,17.3,NA,0.607,537,NA,NA
6277,Elaeocarpus stellaris,Elaeocarpus,Elaeocarpaceae,NA,130,65,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
6278,Elaeocarpus thelmae,Elaeocarpus,Elaeocarpaceae,NA,82.5,41,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
6279,Elaeocarpus williamsianus,Elaeocarpus,Elaeocarpaceae,NA,132,35,20,NA,NA,NA,NA,NA,NA,NA,180,NA
6280,Elephantopus mollis,Elephantopus,Asteraceae,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
6281,Elephantopus scaber,Elephantopus,Asteraceae,NA,NA,NA,0.3,NA,NA,NA,NA,1.37,NA,NA,NA,NA
6282,Eleutheranthera ruderalis,Eleutheranthera,Asteraceae,NA,NA,NA,1,1440,NA,NA,NA,0.95,NA,NA,NA,NA
6283,Embelia australiana,Embelia,Primulaceae,78.3,61.5,31.8,NA,2560,0.6,NA,NA,90.9,NA,NA,NA,NA
6284,Embelia grayi,Embelia,Primulaceae,33.5,80,47.5,32,2020,0.507,0.142,NA,NA,NA,NA,NA,NA
6285,Emmenosperma alphitonioides,Emmenosperma,Rhamnaceae,86,70,35,35,NA,0.701,NA,NA,32.4,NA,NA,1250,NA
6286,Endiandra sp. 1 (Crystal Creek),Endiandra,Lauraceae,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,250,NA
6287,Erechtites valerianifolia,Erechtites,Asteraceae,NA,125,55,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
6288,Eriostemon banksii,Eriostemon,Rutaceae,NA,38.5,11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
6289,Erycibe coccinea,Erycibe,Convolvulaceae,NA,97.5,45,NA,6930,NA,NA,NA,490,NA,NA,NA,NA
6290,Erythrina insularis,Erythrina,Fabaceae,NA,72.5,77.5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
6291,Erythrina vespertilio,Erythrina,Fabaceae,37.7,62.4,63.2,30,3570,0.164,NA,38.7,296,3.08,NA,850,NA
6292,Erythroxylum sp. Mosquito Point (J.R.Clarkson+ 9991),Erythroxylum,Erythroxylaceae,NA,100,51.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
6293,Erythroxylum sp. Splityard Creek (L.Pedley 5360),Erythroxylum,Erythroxylaceae,NA,27.5,12,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
6294,Erythroxylum sp. (Topaz),Erythroxylum,Erythroxylaceae,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
6295,Erythroxylum australe,Erythroxylum,Erythroxylaceae,NA,19.8,7.25,8,NA,NA,NA,NA,14.2,NA,NA,NA,NA
6296,Eucryphia jinksii,Eucryphia,Cunoniaceae,NA,62.5,22.5,25,NA,0.645,NA,NA,NA,NA,NA,NA,NA
6297,Eucryphia wilkiei,Eucryphia,Cunoniaceae,NA,40,11.5,6,NA,NA,NA,NA,1.66,NA,NA,NA,NA
6298,Eugenia reinwardtiana,Eugenia,Myrtaceae,NA,53.5,28,8,NA,NA,NA,NA,301,NA,NA,NA,NA
6299,Euodia hylandii,Euodia,Rutaceae,NA,120,37.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
6300,Euodia micrococca,Euodia,Rutaceae,NA,NA,NA,35,140,NA,NA,NA,NA,NA,NA,NA,NA
6301,Euodia pubifolia,Euodia,Rutaceae,NA,100,37.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
6302,Euodia,Euodia,Rutaceae,NA,NA,33.3,20,1800,NA,NA,NA,NA,NA,NA,NA,NA
6303,Melicope vitiflora,Melicope,Rutaceae,62,138,55,40,12100,0.499,0.27,36.7,17.8,5,NA,180,NA
6304,Ageratina riparia,Ageratina,Asteraceae,NA,75,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
6305,Euphorbia cyathophora,Euphorbia,Euphorbiaceae,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
6306,Euphorbia plumerioides,Euphorbia,Euphorbiaceae,NA,92.5,17.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
6307,Euphorbia tannensis,Euphorbia,Euphorbiaceae,NA,35.4,4.32,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
6308,Everistia vacciniifolia,Everistia,Rubiaceae,64.4,8,5.5,8,85.3,0.68,NA,NA,NA,NA,NA,150,NA
6309,Excoecaria agallocha,Excoecaria,Euphorbiaceae,NA,87.3,44.7,20,NA,0.4,NA,NA,64.3,NA,NA,300,NA
6310,Excoecaria dallachyana,Excoecaria,Euphorbiaceae,54,56.2,24,15,697,0.62,NA,NA,NA,NA,NA,450,NA
6311,Fagraea berteroana,Fagraea,Gentianaceae,NA,145,72.5,10,NA,0.827,NA,NA,1.2,NA,NA,NA,NA
6312,Fagraea cambagei,Fagraea,Gentianaceae,NA,185,85,20,NA,0.827,NA,NA,NA,NA,NA,NA,NA
6313,Fagraea fagraeacea,Fagraea,Gentianaceae,NA,85,32.5,20,NA,0.839,NA,NA,NA,NA,NA,NA,NA
6314,Faradaya splendida,Faradaya,Lamiaceae,37.7,240,95,41,20100,0.278,0.134,NA,6280,NA,NA,NA,NA
6315,Ficus macrophylla,Ficus,Moraceae,NA,175,85,50,NA,0.298,NA,NA,2.14,NA,NA,2400,NA
6316,Ficus microcarpa,Ficus,Moraceae,NA,NA,NA,20,NA,NA,NA,NA,0.367,NA,NA,NA,NA
6317,Ficus subnervosa,Ficus,Moraceae,NA,90,40,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
6318,Ficus virens var. virens,Ficus,Moraceae,NA,NA,NA,40,NA,0.34,NA,NA,NA,NA,NA,NA,NA
6319,Firmiana papuana,Firmiana,Malvaceae,NA,130,120,25,NA,0.344,NA,NA,NA,NA,NA,NA,NA
6320,Flacourtia sp. Shiptons Flat (L.W.Jessup+ GJD3200),Flacourtia,Salicaceae,NA,110,50,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
6321,Flacourtia jangomas,Flacourtia,Salicaceae,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
6322,Flindersia acuminata,Flindersia,Rutaceae,95.7,100,30.5,40,2180,0.446,0.225,33.3,NA,3.98,NA,NA,NA
6323,Flindersia australis,Flindersia,Rutaceae,129,90,31.5,45,11500,0.777,NA,NA,43.1,NA,NA,1800,NA
6324,Flindersia bennettii,Flindersia,Rutaceae,139,125,48.5,40,20600,0.701,NA,NA,NA,NA,NA,900,NA
6325,Flindersia bourjotiana,Flindersia,Rutaceae,135,122,31.5,38,4100,0.505,0.347,12.1,130,0.704,514,NA,NA
6326,Flindersia brassii,Flindersia,Rutaceae,NA,60,27.5,30,NA,0.839,NA,NA,NA,NA,NA,NA,NA
6327,Flindersia brayleyana,Flindersia,Rutaceae,150,135,54,42,6810,0.472,0.343,14.8,93.5,1.09,NA,NA,NA
6328,Flindersia collina,Flindersia,Rutaceae,107,55,28.5,40,3390,0.771,NA,NA,NA,NA,NA,600,NA
6329,Flindersia ifflana,Flindersia,Rutaceae,NA,92.5,39,35,NA,0.843,NA,NA,NA,NA,NA,NA,NA
6330,Flindersia laevicarpa,Flindersia,Rutaceae,114,NA,NA,20,NA,0.583,NA,11.6,NA,0.504,552,NA,NA
6331,Flindersia oppositifolia,Flindersia,Rutaceae,NA,80,28,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
6332,Flindersia pimenteliana,Flindersia,Rutaceae,102,95,39,30,2440,0.521,0.256,18.1,91.5,0.775,519,NA,NA
6333,Flindersia schottiana,Flindersia,Rutaceae,213,145,44.5,50,10200,0.578,0.248,18.7,73,2.59,487,1000,NA
6334,Flindersia xanthoxyla,Flindersia,Rutaceae,62.3,75.5,19,45,13400,0.643,NA,NA,73.1,NA,NA,900,NA
6335,Floscopa scandens,Floscopa,Commelinaceae,NA,NA,NA,0.8,NA,NA,NA,NA,0.885,NA,NA,NA,NA
6336,Flueggea leucopyrus,Flueggea,Phyllanthaceae,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
6337,Fontainea australis,Fontainea,Euphorbiaceae,NA,75,27.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
6338,Fontainea oraria,Fontainea,Euphorbiaceae,NA,75,32.5,10,NA,NA,NA,NA,NA,NA,NA,100,NA
6339,Fontainea picrosperma,Fontainea,Euphorbiaceae,51.2,130,42.5,25,NA,0.46,NA,NA,895,NA,NA,NA,NA
6340,Franciscodendron laurifolium,Franciscodendron,Malvaceae,89.2,165,72.5,35,5910,0.383,0.219,13.8,142,1.16,496,NA,NA
6341,Galactia muelleri,Galactia,Fabaceae,NA,41,15.8,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
6342,Galactia tenuiflora,Galactia,Fabaceae,NA,45,16.7,NA,NA,NA,NA,24.6,25.1,NA,478,NA,NA
6343,Garcinia sp. Claudie River (L.J.Brass 19658),Garcinia,Clusiaceae,NA,90,40,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
6344,Garcinia zichii,Garcinia,Clusiaceae,183,80,22.5,30,1120,0.96,0.405,9.4,NA,0.474,NA,NA,NA
6345,Garcinia russellii,Garcinia,Clusiaceae,NA,185,66.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
6346,Garcinia brassii,Garcinia,Clusiaceae,NA,65,30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
6347,Garcinia dulcis,Garcinia,Clusiaceae,NA,178,85,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
6348,Garcinia gibbsiae,Garcinia,Clusiaceae,99.9,125,65,12,NA,0.82,NA,13.4,NA,NA,NA,NA,NA
6349,Garcinia mestonii,Garcinia,Clusiaceae,NA,65,20,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
6350,Garcinia jensenii,Garcinia,Clusiaceae,NA,100,47.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
6351,Garcinia warrenii,Garcinia,Clusiaceae,NA,115,55,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
6352,Gardenia actinocarpa,Gardenia,Rubiaceae,44.8,170,50,5,NA,NA,NA,15.1,NA,0.59,NA,NA,NA
6353,Gardenia ovularis,Gardenia,Rubiaceae,81.6,155,55,20,4960,0.701,0.21,14.8,1,0.662,NA,NA,NA
6354,Gardenia psidioides,Gardenia,Rubiaceae,NA,87.5,42.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
6355,Gardenia scabrella,Gardenia,Rubiaceae,NA,75,28,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
6356,Gardenia vilhelmii,Gardenia,Rubiaceae,99.7,22.5,13,8,260,0.643,NA,14.9,NA,0.772,453,NA,NA
6357,Garuga floribunda,Garuga,Burseraceae,NA,52.5,22.5,35,NA,0.548,NA,NA,NA,NA,NA,NA,NA
6358,Polyscias spectabilis,Polyscias,Araliaceae,NA,165,72.5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
6359,Karrabina benthamiana,Karrabina,Cunoniaceae,105,115,35,45,NA,0.567,NA,NA,NA,NA,NA,1400,NA
6360,Karrabina biagiana,Karrabina,Cunoniaceae,107,170,57.5,33,13000,0.483,0.245,10,0.32,1,NA,NA,NA
6361,Wilkiea sp. McDowall Range (J.G.Tracey 14552),Wilkiea,Monimiaceae,NA,65,27.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
6362,Gynochthodes retropila,Gynochthodes,Rubiaceae,NA,65,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6363,Gen. (AQ520454) sp. Shute Harbour (D.A.Halford Q811),Gen.,Rubiaceae,NA,100,42.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
6364,Sapindaceae sp. (Noah Creek BG 6026),Sapindaceae,Sapindaceae,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
6365,Geniostoma rupestre var. australianum,Geniostoma,Loganiaceae,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
6366,Geophila repens,Geophila,Rubiaceae,NA,NA,NA,NA,NA,NA,NA,NA,14.1,NA,NA,NA,NA
6367,Gillbeea adenopetala,Gillbeea,Cunoniaceae,108,115,67.5,35,4250,0.442,0.283,11.5,9.05,0.698,NA,NA,NA
6368,Glochidion apodogynum,Glochidion,Phyllanthaceae,NA,82.5,37.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
6369,Glochidion benthamianum,Glochidion,Phyllanthaceae,NA,50,20,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
6370,Glochidion disparipes,Glochidion,Phyllanthaceae,NA,98.5,39,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
6371,Glochidion harveyanum var. harveyanum,Glochidion,Phyllanthaceae,NA,115,50,18,6280,0.559,0.214,NA,NA,NA,NA,NA,NA
6372,Glochidion harveyanum var. pubescens,Glochidion,Phyllanthaceae,NA,105,50,15,NA,0.63,NA,NA,NA,NA,NA,NA,NA
6373,Glochidion hylandii,Glochidion,Phyllanthaceae,94.2,90,40,15,3220,0.613,0.253,16.5,10.7,1.69,NA,NA,NA
6374,Glochidion lobocarpum,Glochidion,Phyllanthaceae,101,60,27.5,9,715,NA,NA,NA,NA,NA,NA,NA,NA
6375,Glochidion philippicum,Glochidion,Phyllanthaceae,NA,80,30,20,2400,0.595,NA,NA,5.6,NA,NA,NA,NA
6376,Glochidion pruinosum,Glochidion,Phyllanthaceae,NA,65,30,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
6377,Glochidion pungens,Glochidion,Phyllanthaceae,NA,70,27.5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
6378,Glochidion sessiliflorum var. pedicellatum,Glochidion,Phyllanthaceae,NA,70,27.5,15,1620,0.643,NA,NA,NA,NA,NA,NA,NA
6379,Glochidion sessiliflorum var. sessiliflorum,Glochidion,Phyllanthaceae,NA,97.5,42.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
6380,Glossocarya calcicola,Glossocarya,Lamiaceae,NA,45,32.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
6381,Glossocarya hemiderma,Glossocarya,Lamiaceae,NA,80,47.5,6,NA,NA,NA,NA,1.64,NA,NA,NA,NA
6382,Glycosmis trifoliata,Glycosmis,Rutaceae,NA,108,40,8,6820,0.5,NA,15,82,NA,450,NA,NA
6383,Gmelina dalrympleana,Gmelina,Lamiaceae,NA,190,125,30,NA,0.443,NA,NA,NA,NA,NA,NA,NA
6384,Gmelina fasciculiflora,Gmelina,Lamiaceae,97,105,55,34,2830,0.445,0.146,NA,730,NA,NA,NA,NA
6385,Gmelina leichhardtii,Gmelina,Lamiaceae,NA,140,75,45,NA,0.47,NA,NA,NA,NA,NA,1500,NA
6386,Gomphocarpus physocarpus,Gomphocarpus,Apocynaceae,NA,55,13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
6387,Goodia lotifolia,Goodia,Fabaceae,NA,24.7,20.8,4,797,NA,NA,NA,20.2,NA,NA,NA,NA
6388,Gossia acmenoides,Gossia,Myrtaceae,97.9,50,22.5,20,1950,0.745,NA,NA,NA,NA,NA,300,NA
6389,Gossia bamagensis,Gossia,Myrtaceae,NA,77.5,40,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
6390,Gossia dallachiana,Gossia,Myrtaceae,65.9,140,80,16,5590,0.743,0.198,NA,NA,NA,NA,NA,NA
6391,Gossia floribunda,Gossia,Myrtaceae,NA,47.5,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
6392,Gossia fragrantissima,Gossia,Myrtaceae,NA,32.5,16.5,12,NA,NA,NA,NA,13.2,NA,NA,NA,NA
6393,Gossia grayi,Gossia,Myrtaceae,NA,105,55,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
6394,Gossia hillii,Gossia,Myrtaceae,95.7,41.2,21,20,818,0.69,NA,NA,39.3,NA,NA,300,NA
6395,Gossia lewisensis,Gossia,Myrtaceae,NA,49,22.5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
6396,Gossia lucida,Gossia,Myrtaceae,NA,75,40,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
6397,Gossia macilwraithensis,Gossia,Myrtaceae,NA,39,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
6398,Gossia myrsinocarpa,Gossia,Myrtaceae,NA,57.5,25,15,1730,0.61,NA,NA,50,NA,NA,NA,NA
6399,Gossia pubiflora,Gossia,Myrtaceae,NA,37.5,20,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
6400,Gossia retusa,Gossia,Myrtaceae,NA,32.5,22.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
